Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
Dku3A03GJWg,2024-12-31T04:53:50Z,"KOI CUCKOO 1 SHOT 19$  BUDGET TEAM AXIE INFINITY ORIGINS  VS RAGE,POISON,JINX,FEAR TEAM",84,3,6,BUDGET AXIE TEAM BUILD ,0
tOu1mVuF-Ic,2024-12-30T21:00:44Z,Axie Infinity (AXS) Price Prediction 2025 - How High Will It Go?,1152,46,104,Cheeky Crypto,0
ijwQfzOqTl8,2024-12-31T00:49:58Z,Axie Infinity Classic (Team Discard & Diable) game changer. #axieinfinity #gameplay #axiecommunity,13,2,0,Gaming Monarch TV,0
AzwZSVKlVUY,2024-12-31T04:00:52Z,YEAR ENDER SPECIAL AXIE CLASSIC | AXIE INFINITY,12,2,0,STARS | AXIE INFINITY,0
b0m9r6YBKPk,2024-12-31T20:00:16Z,CUCKOO-KOI vs FEATHER-AOE | SEASON 11 | AXIE INFINITY ORIGINS,175,6,0,AxieMeta,0
tptcIM2DFKk,2025-01-01T14:00:51Z,FEAR-RICE vs HEALING-ZOO | SEASON 11 | AXIE INFINITY ORIGINS,160,4,0,AxieMeta,0
rmTLLTOk4lw,2024-12-30T09:45:52Z,Meta Report for Late Mystic Era of Season 11 in Axie Infinity: Origins,28,4,2,Maurice's Axie Vlog,0
aZfOvCFTCoc,2025-01-01T16:00:01Z,TINY FAN-CONTROL vs POISON-GILA | SEASON 11 | AXIE INFINITY ORIGINS,371,8,0,AxieMeta,0
aYz08MlGrUU,2024-12-30T17:00:04Z,BUBBLE-AOE vs POISON-GILA | SEASON 11 | AXIE INFINITY ORIGINS,141,2,1,AxieMeta,0
RUo9m6bsCKw,2024-12-31T22:00:15Z,JINX-SWIRL vs POISON-GILA | SEASON 11 | AXIE INFINITY ORIGINS,149,4,0,AxieMeta,0
4YT91REDv2U,2024-12-31T18:00:03Z,POISON-SLEEP vs FEATHER FAN | SEASON 11 | AXIE INFINITY ORIGINS,170,2,0,AxieMeta,0
b2S2ZkaUt0Q,2024-12-31T19:17:11Z,⚡THIS TEAM IS CLIMBING THE LEADERBOARD! STRONG TEAM | AXIE INFINITY ORIGINS,172,4,0,EduMock,0
q0Gv6QX1qXM,2024-12-29T21:00:29Z,POISON-GILA vs FEAR-RICE | SEASON 11 | AXIE INFINITY ORIGINS,173,5,0,AxieMeta,0
2k2_HhPONRE,2024-12-31T11:00:04Z,axie infinity - mech x mech,234,34,0,Rskyfsh,0
P0oxWs4Pq8M,2024-12-30T21:00:26Z,FEAR-RICE vs POISON-SLEEP | SEASON 11 | AXIE INFINITY ORIGINS,187,5,2,AxieMeta,0
i2n5KYvi1Is,2024-12-30T06:32:19Z,BUDGET BUBBLE TEAM IN LOW CHALLENGER | AXIE INFINITY ORIGIN SEASON 11 | MYSTIC ERA,139,3,0,Single#1,0
QjpjLlGwW2k,2024-12-30T15:00:26Z,FEATHER FAN vs TINY FAN-CONTROL | SEASON 11 | AXIE INFINITY ORIGINS,203,6,1,AxieMeta,0
