Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
KJspTP3Agj8,2025-01-03T10:00:26Z,"eFootball™ 2025 850M Download Campaign Rewards !! Free Coins, Free BigTime Card 🔥",45473,0,68,R2 Debo,0
aIeZzO1w9WM,2025-01-01T15:30:14Z,Bigtime legends came No defense can stop them.#ronaldo #bale #bbc #bigtime,1302,32,5,AFG PES,0
4PqyFryMjgY,2025-01-04T08:08:39Z,TRIK AMPUH DAPATKAN ANIMASI HITAM DI TIKET BIGTIME BALE ! TRIK AMPUH DAPATKAN 2 EPIC SEKALI GATCHA !,8930,445,132,K Kenedy,0
fswaEpIQcIM,2025-01-04T05:26:55Z,TRIK AMPUH 2OO K0IN DAPAT BIGTIME BALE & EPIC PIRL0 BERTURUT TURUT! TRIK BALE & PIRL0 PAKAI 2OO K0IN,14677,551,130,K Kenedy,0
jTrElRcFVRU,2025-01-01T05:25:03Z,107 Rated Bigtime Gareth Bale #efootball Bale Bigtime #efootball2025,72200,4984,57,Bixoy Tech & Gaming,0
UzqLhGkZsGA,2024-12-31T02:14:17Z,Bombohanay Bigtime,717,11,0,Bombo Radyo Iloilo,0
9Wx6YESkyv8,2025-01-01T03:44:03Z,Bombohanay Bigtime,951,12,0,Bombo Radyo Iloilo,0
K92mTUbduTo,2025-01-01T16:27:59Z,BIGTIME FAMILY#2024 year end,277,5,0,IDOL TV,0
LkfVmweWgiI,2025-01-01T11:24:20Z,BIGTIMEベイルがマジで最強すぎたｗｗｗ #efootball #イーフト #イーフットボール #ウイイレ #シェフチェンコ #バッジョ #ベイル,244405,7105,261,ちょぶり【eFootball解説】,0
CoztLNjNrH8,2025-01-01T02:04:03Z,TRIK AMPUH TIKET GRATIS ATAU 1OO K0IN DAPATKAN BIGTIME BALE & EPIC SHEVCHENK0 ! TRIK SEKALI GATCHA!,40744,1629,240,K Kenedy,0
1wywaDDeJ18,2024-12-31T17:06:32Z,FIRST SPIN TRICK TO GET NEW YEAR BIGTIME  107 BALE + SHEVCHENKO + BAGGIO,31763,973,82,9AL PES,0
