,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,dvXcu6r53xo,2024-07-14T02:21:13Z,🔴LIVE | DEADROP | BIG UPDATE | FOUNDER TESTING | MIDNIGHT SOCIETY,267,26,0,JOK5RR,850
1,XkrDBcsib2k,2024-07-01T00:02:18Z,DEADROP: Where do we go from here?,2930,34,120,Midnight Mayor,645
2,FvMTeAS8D68,2024-07-15T02:23:56Z,HANDS ON with the DEADROP FOUNDER'S TEST UPDATE. HUGE STEPS FORWARD!,47,7,1,Midnight Mayor,645
3,43F0efUZ0oE,2024-07-15T01:29:26Z,🔴LIVE | DEADROP | UPDATE | FOUNDER TESTING | MIDNIGHT SOCIETY,126,14,0,JOK5RR,850
4,nzlb5hfokbo,2024-07-13T14:10:09Z,HUGE Deadrop UPDATE! Founder Testing is HERE! (Midnight Society),375,18,20,JOK5RR,850
5,vg3DwYvxZuA,2024-07-02T17:29:30Z,I downloaded Deadrop to find out if it's alive or... dead.,809,12,17,bryanthaboi,21900
6,tTapCPXAEqQ,2024-06-20T01:11:56Z,deadrop gd 94% (!epilepsy warning!),15,1,3,tsmbranch,81
7,m83mB0pyLjI,2024-07-14T01:44:56Z,Deadrop Founder Playtest 7.13.24 pt. 5,0,0,0,Decent at Best,15
8,H3IfgxhtXLQ,2024-07-14T01:43:31Z,Deadrop Founder Playest 7.13.24 pt. 3,0,0,0,Decent at Best,15
9,ul4u1Zvf0vg,2024-07-14T01:44:07Z,Deadrop Founder Playtest 7.13.24 pt. 4,3,0,0,Decent at Best,15
