Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
CVdi59T2FIA,2024-11-13T04:25:45Z,MANA (Decentraland) Crypto: My next Purchase,1247,65,20,C-Zar Gets Crypto ,8230
QxRuZ5FfjWY,2024-11-17T01:28:08Z,MANA Decentraland Coin Price News Today - Elliott Wave Technical Analysis Price Prediction!,2540,137,13,More Crypto Online,240000
BQt8amersdE,2024-11-18T23:00:08Z,Decentraland Gameplay,112,5,0,Uptodown,267000
CDAYzH0Id5o,2024-11-15T15:22:09Z,Decentraland Music Festival 2024,195,16,3,Decentraland,11600
UI48WMn_LZk,2024-11-17T07:17:03Z,How Decentraland  is Shaping the Future of the Metaverse,90205,6237,116,FinanceWhisperer,31100
EgBMm-RqtEw,2024-11-16T12:25:35Z,MANA Decentraland Coin Price News Today - Price Prediction and Technical Analysis,1112,21,6,Super Tradeish,24500
PPMMAS-Dvks,2024-11-13T06:55:53Z,Decentraland Demystified EP4 After Dark: God-Mode,48,2,0,Aeon Smash,28
QFZ0lw-ilBU,2024-11-17T09:17:52Z,"Decentraland (MANA) Insane Altseason Pump, How High Can MANA Pump? Is A New All Time High Possible?",325,8,3,Mr Legend,23600
EOqgGnS96Nw,2024-11-14T15:52:13Z,Moemate VRM Avatar AI Assistant + Decentraland - No Bueno 🤦🏻,61,4,2,⚡️SWISSVERSE,1410
oG09wmBtWb0,2024-11-16T14:35:42Z,Decentraland ($MANA) a good buy? #decentraland #cryptocurrency #crypto #altcrypto #altcoins #btc,227,9,3,Tim Johnson,531
UaCvVHVv350,2024-11-16T11:00:36Z,Decentraland Music Festival Headliner Wearables,58,2,1,Decentraland,11600
crMZIxQfK2s,2024-11-19T15:54:02Z,The Unstoppable Move Of Decentraland MANA Crypto Coin,17,3,2,moon333,28500
i3LFYdm14vU,2024-11-19T04:00:33Z,Decentraland (MANA) Price Prediction & Analysis | Buy or Wait?,15,0,0,Myself Invested,103
jstxy9ZDgqw,2024-11-16T16:28:42Z,Party In Decentraland With Make For Merabeast Party,11,0,0,LavaHeadsNFT TV,306
LShnRQ45o1s,2024-11-19T09:09:03Z,"Cruising The Timeline ep. 11 | POG HUB, Decentraland, NFTs, Memecoins, Bitcoin",6,1,0,LavaHeadsNFT TV,306
wmeqreD3un0,2024-11-17T22:01:52Z,House Tour 2024 - Decentraland,97,3,8,⚡️SWISSVERSE,1410
l_tjrR6zHCc,2024-11-19T07:55:58Z,Sandbox or Decentraland: Which Virtual World Should You Explore,1,0,0,MetaMind,0
0ZbeMya0ca4,2024-11-16T14:58:47Z,The Sandbox ($SAND) looking up finally... Decentraland's competitor? #thesandboxgame #thesandbox,28,1,0,Tim Johnson,531
qWheI8ONnug,2024-11-17T13:58:51Z,Community Building Decentraland Space Week: 129 11/16/24,34,3,2,SinfulMedia,1280
