Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
vxnA0au4P3Y,2024-11-14T12:56:10Z,Fableborne Play to Airdrop Season 3,25,3,2,Viar Cryptonation,328
lJhB9Qi9HNM,2024-11-13T08:15:25Z,Fableborne Trailer - Composer,32,2,1,Gorilla Audio,250
BN6DTluiSGg,2024-11-15T12:57:02Z,Why Fableborne moved to #ronin,99,0,0,Blockchain Gaming World,9170
J_FFk9dwJiI,2024-11-14T13:09:34Z,Fableborne On Ronin Network | Play Game and Earn Reword,21,0,0,Web3 Battle,5
ABWGpvDXF0w,2024-11-13T16:24:04Z,🔥 JUEGO ESTILO CLASH OF CLANS LLEGA A RONIN | Fableborne,2267,100,22,Sarraf,55700
404Bdzk0sAs,2024-11-13T21:59:02Z,Nuevo juego en Ronin 🔥👀 -FableBorne- 🔥👀,37,4,1,Bu.NFT.,491
DcHvJC9tukc,2024-11-13T20:44:38Z,Fableborne (Lo que debes saber) Nuevo juego en Ronin,285,24,3,SoloNFT,2670
AKADq60DSnQ,2024-11-13T18:38:19Z,NUEVO JUEGO EN RONIN | PROXIMO PLAY TO AIRDROP Y TEMPORADA COMPETITIVA | FABLEBORNE 2024,419,34,5,SonLe,2710
9N-MJ7Suxe0,2024-11-14T14:00:13Z,FABLEBORNE: UMA MISTURA DE ALBION ONLINE E CLASH OF CLANS l PLAY TO AIRDROP,249,23,16,Criptonistas,1040
1V_XS3wSgS4,2024-11-14T18:47:57Z,Fableborne - Season 3 Play To Airdrop - Ronin Migrate - Detail | in Hindi,87,7,5,HYPRWHALE,575
xJ8z-48pht8,2024-11-14T21:00:42Z,⚔️ NUEVO JUEGAZO en la RED de RONIN | Fableborne,549,25,1,Nicoletaa NFT,4100
ybwYclZr3EA,2024-11-15T15:50:33Z,⚔️GANA RECOMPENSAS CON ESTE NUEVO JUEGO NFT🛡️ FABLEBORNE CON EVENTOS EN SU SEASON 3 🔥 AHORA EN RONIN,149,4,1,CryptoPlayGame,1180
LMyFwgQsRnA,2024-11-19T15:20:26Z,Why @fableborne's Move to Ronin Is a Game-Changer 🌐🔥#ronin #Fableborne,1,1,0,Crypto Gaming HQ,34
FfSVwxyG4IY,2024-11-18T13:15:02Z,Fableborne – Season 3 Trailer,56,4,0,Fableborne,338
fT0l9vUt-wM,2024-11-15T18:29:23Z,Novedades Explosivas en Fableborne 💥 Temporada 3 y su Gran Entrada a Ronin,650,4,2,Cerbero,1370
Pg2SALSptoo,2024-11-19T10:38:14Z,Fableborne Airdrop season 3 - ایردراپ بازی,139,5,7,bluepoint crypto,2050
U6X-YEwWPDM,2024-11-19T10:19:38Z,Introducing Fableborne New Token $POWER | S3 Tomorrow,0,0,0,Web3 Battle,5
