,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,M89tmPz5Z_U,2024-05-27T22:46:33Z,best way to get fun with this tresher bug #godsunchained,46,3,0,Beard Cinema,481
1,78tvoNt6zns,2024-05-26T11:06:29Z,One BIG SMACK turn with Chieftain of Impulse #godsunchained,107,8,5,sadisteck,476
2,hBWR5o-G77A,2024-05-10T19:35:33Z,Muto Games in Mythic #godsunchained,99,8,9,sadisteck,476
3,UdaPu2j0rDs,2024-05-22T19:31:15Z,27th turn 🔥 | samanuzumaki on #Twitch #godsunchained #rankedmode #cardgame #samanuzumaki,38,2,0,Saman Uzumaki,2
4,RUFI9N3UMa8,2024-05-29T14:55:05Z,Fast Bomb Death 💀 #godsunchained #gameplay #tcg #immutablex,23,3,0,GogiGods,9
5,B4t7U5PpqaI,2024-05-27T09:45:08Z,Bomb Dragon Death Deck #godsunchained #tcg #playtoearn,20,1,0,GogiGods,9
6,X1s4DDg2BZQ,2024-05-22T13:30:41Z,A new imba? #godsunchained #tcg #playtoearn,32,4,1,GogiGods,9
7,9VC9-O-3UGA,2024-05-07T08:57:57Z,"Godsunchained, Playing Food Chain Deck.",7,1,0,i meow gaming,8
8,n_7sF9BltB0,2024-05-24T16:19:39Z,Irina Magic Deck #godsunchained  #tcg  #playtoearn,14,4,0,GogiGods,9
9,xqo13IoQC5A,2024-05-11T03:48:34Z,27th turn 🔥 #twitch #godsunchained #rankedmode #deckbuilding #cardgame #twitchstreamer #samanuzumaki,14,1,0,Saman Uzumaki,2
10,iu3UigfN6s8,2024-05-30T00:14:36Z,Subimos de Rank con este deck en @GodsUnchained,47,2,0,Dinero por Internet,25000
11,CLFZeoUKvQk,2024-05-30T20:03:30Z,28 Damage per Turn? #godsunchained #gameplay #tcg #immutablex,23,4,3,GogiGods,9
