,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,34xzkazuGmY,2024-06-18T19:45:38Z,HYTOPIA BETA UPDATE,34,2,0,Adonis ,25
1,AgJWurYgnP4,2024-06-12T02:51:31Z,🔴 LIVE: FIRST HYTOPIA BETA FOOTAGE,24,4,1,Adonis ,25
2,u5sel_ql8TA,2024-06-14T03:00:05Z,🔴 LIVE: LET`S PLAY THE HYTOPIA BETA,17,1,0,Adonis ,25
3,29fQ7SMa1-w,2024-06-13T03:08:52Z,🔴 LIVE: HYTOPIA BATTLE ROYALE AND UPDATES,14,0,0,Adonis ,25
4,1VLb2m_q1c0,2024-06-15T06:01:57Z,HYTOPIA BETA NETHER PORTAL (Gray Boys factions server first day of testing),43,4,2,alliedtoasters,89
5,jl7uBM560AM,2024-06-15T03:17:19Z,🔴 LIVE: BATTLE ROYALE HYTOPIA GAMEPLAY,17,1,0,Adonis ,25
6,KS17H4TUAD8,2024-06-11T00:58:52Z,Athlete Domains Minecraft/Hytopia Trailer,21,1,0,Chris Campbell,4
7,4Wpa359oJps,2024-06-20T02:54:11Z,🔴 LIVE: PLAYING THE NEW HYTOPIA BETA VERSION,4,0,0,Adonis ,25
8,5sDi8pJ8tpA,2024-06-21T03:07:36Z,🔴 LIVE: NEW HYTOPIA BATTLE ROYALE GAMEPLAY,5,0,0,Adonis ,25
9,_pKFtKfFWdU,2024-06-05T02:32:15Z,🔴 LIVE: PURCHASING HYTOPIA NFTs & ECOSYSTEM UPDATES,5,0,0,Adonis ,25
10,t0b6DDQjHrw,2024-06-16T03:13:41Z,🔴 LIVE: HYTOPIA WORLDS SHOPPING WITH PIRATE MURDOCH,30,1,0,Adonis ,25
