,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,DX8EF-TjwkE,2024-09-16T12:50:57Z,16 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms,2,0,0,ZevFei Mobile Games,158
1,agxCzOmWJc8,2024-09-14T19:19:59Z,The Most Unstoppable Move! Of League of Kingdoms Arena (LOKA) Crypto Coin,32,2,0,moon333,27600
2,uahu-BO_8K8,2024-09-14T01:53:09Z,12 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms + Call of Dragons,19,0,0,ZevFei Mobile Games,158
3,7Jeis-86xHw,2024-09-15T00:23:31Z,15 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms,6,0,0,ZevFei Mobile Games,158
4,Bi0IF5OFXU4,2024-09-14T11:53:16Z,14 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms,13,0,0,ZevFei Mobile Games,158
5,q9Zlsa7ddTw,2024-09-11T11:28:20Z,11 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms + Call of Dragons,4,0,0,ZevFei Mobile Games,158
6,CU5Xe9s93KA,2024-09-12T12:25:49Z,LOKA Coin League Of Kingdoms Arena Price News Today - Price Prediction and Technical Analysis,59,2,16,Super Tradeish,23400
7,MRN0FhGBDbI,2024-09-10T14:03:39Z,10 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms + Call of Dragons,13,0,0,ZevFei Mobile Games,158
8,zzgFrFT7YeU,2024-09-13T18:48:20Z,13 SEPT 2024 - Doomsday  Last Survivor + League of Kingdoms + Call of Dragons,9,0,0,ZevFei Mobile Games,158
9,CVqJTnpEEtM,2024-09-12T23:00:11Z,League OF Kingdoms 🤑🎮INVISTA em Seu Futuro : Construa Seu Império Criptográfico,20,3,2,Leandro Fumão,759
10,Ym_ADGsNHZ4,2024-09-09T23:26:17Z,"PC Gamer para jogar Rise of Kingdoms! [League of Legends, Fifa e etc] Barato",360,51,17,Don Verissimo ROK,1400
