Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
o9tAYsBw0kA,2025-01-04T11:56:33Z,HIGHLIGHT PRO RANKED CS2 MOBILE ( MATR1X FIRE ),46,0,0,SALMONK,0
_sbtvW8GH-U,2025-01-04T01:22:45Z,Matr1x Fire | 23 Kills Ranked Match Gameplay (Hindi),172,9,5,Myu10,0
HbKQPBbSfbs,2024-12-30T14:16:46Z,Matr1x Fire | Last Video Of 2024 Gold Vs master Ranked Match Gameplay (Hindi),314,12,8,Myu10,0
FC4Ssl0UKpo,2025-01-01T15:15:33Z,1 Vs 4 Clutch In Matr1x Fire 🔥 !! #gaming #matr1xfire,296,31,3,SHUBHU FF GAMER,0
4KeI8Wokc0I,2025-01-05T15:15:22Z,🔴MATR1X FIRE | EA EA EAEA,9,3,0,SALMONK,0
AjNmhcIP7nk,2024-12-30T08:24:39Z,MATR1X FIRE NICE GAME WIN #games #3d #gaming #matr1xfire #matr1x #elsacoach,441,10,0,Elsa Pharita (Elsacoach),0
CJw6SQRuPfs,2025-01-01T15:10:20Z,MATR1X FIRE NICE GAME WIN #games #3d #gaming #matr1xfire #matr1x #elsacoach,107,4,1,Elsa Pharita (Elsacoach),0
V-WkV2FrKeA,2025-01-05T03:27:16Z,🔴MATR1X FIRE | MINGGU PAGI AKA MORNING SUNDAY,28,2,0,SALMONK,0
f0nYrkXfTA0,2025-01-03T11:09:39Z,🔴MATR1X FIRE | SIAPA YANG SUDAH JUMATAN ADIK ADIK?!!,45,2,0,SALMONK,0
kHkTKJNwYcQ,2025-01-05T11:48:24Z,🔴MATR1X FIRE | hi,25,3,0,SALMONK,0
rL-JrZIxXx0,2024-12-30T17:47:40Z,MATR1X FIRE | RANKED GAME gameplay,15,1,0,⚡ROCKSTAR⚡,0
_sydruMZBWk,2025-01-05T08:39:16Z,🔴MATR1X FIRE | IKAN GORENG PEDAS MANIS,36,0,2,SALMONK,0
wEsbTnkslBY,2025-01-02T11:41:20Z,🔴MATR1X FIRE | TAHUN BARU KE MANIS,170,8,0,SALMONK,0
v_6ptsSxfbM,2025-01-01T14:28:36Z,มีใครเล่นเกมนี้มั้ยครับ 🙂 | MATR1X FIRE | #game #matr1xfire,46,7,3,LEEDOBUK,0
MzHJvyHUPh4,2024-12-30T13:56:57Z,🔴MATR1X FIRE | SARAPAN HEADSHOT,149,2,0,SALMONK,0
8Gy7k7m7L7o,2025-01-03T14:28:03Z,🔴MATR1X FIRE | KENCANGKAN SABUK PENGAMAN KITA CARI LAWAN SEPADAN!!,61,3,0,SALMONK,0
TyAL0Ub8Q2o,2025-01-04T13:15:16Z,🔴MATR1X FIRE | PAGI ADIK ADIK TERKEDIK KEDIK,149,7,0,SALMONK,0
Ks_mbpBxH3M,2024-12-30T18:48:09Z,MATR1X FIRE| Ranked match gameplay  #2,8,1,0,⚡ROCKSTAR⚡,0
VSTKepeMbjM,2025-01-01T06:36:39Z,【MATR1X FIRE】kill highlight 146 #shorts #competition #gaming #fps,57,3,0,Seihello ch.,0
Jm-OeoOgk3A,2025-01-03T04:28:26Z,🔴MATR1X FIRE | JUMAT PAGI AKA MORNING FRIDAY,60,1,0,SALMONK,0
NJdNVwzt_X4,2024-12-30T08:35:03Z,【MATR1X FIRE】kill highlight 145 #shorts #competition #gaming #fps,12,1,0,Seihello ch.,0
_VCnRvDk380,2024-12-31T08:36:32Z,MATR1X FIRE | play ranked mode #3,7,1,0,⚡ROCKSTAR⚡,0
vnkoTChJ_3k,2025-01-01T14:22:52Z,!MATR1X FİRE oynuyruq gəlin,0,0,0,Oyun kanalı,0
6cbrvsAVHnI,2024-12-31T06:40:30Z,【MATR1X FIRE 】kill highlight Extra edition,3,1,0,Seihello ch.,0
UTqlXZf983A,2024-12-31T12:23:17Z,🔴MATR1X FIRE | MATCHMAKING MAKIN LAMA PEMIRSA,74,4,0,SALMONK,0
aGZDRVe35aE,2024-12-30T04:55:56Z,🔴MATR1X FIRE | KUE PUTU MANIS,71,2,0,SALMONK,0
lIY9RLjQsp8,2025-01-01T10:30:37Z,1 Vs 4 Clutch In Matr1x Fire 🔥 !! #gaming #matr1x,135,9,2,GAMER MATR1X,0
JAiU6eLR_io,2025-01-02T06:00:32Z,Matr1x fire gameplay game like valorant #gaming #shorts #matr1xfire,500,3,0,Ujjwal Plays,0
IiCVYl_CVvA,2024-12-30T09:57:23Z,MATR1X FIRE 🔥,19,7,0,PRŒFESSØZY•LIVE,0
hYvolTuZK0I,2025-01-02T02:00:32Z,MATR1X FIRE GAME MIRIP VALORANT VERSI MOBILE ‼️,29,6,0,BANG IYAN,0
aRuQqcLDaGw,2025-01-05T00:00:01Z,MATR1X FIRE • Best Gameplay Review (Mobile Game),8,0,0,StarSky TVS,0
9xQe2ftAiBw,2025-01-02T10:29:49Z,1 Vs 2 Clutch In Matr1x Fire 🔥 !! #shorts #gamingshorts #matr1x,21,2,1,GAMER MATR1X,0
J_rX3rUl2pU,2025-01-03T07:48:21Z,【MATR1X FIRE】kill highlight 148 #shorts #competition #gaming #fps,36,1,0,Seihello ch.,0
mRItmhi_D9A,2025-01-01T04:00:23Z,MATR1X FIRE 2025 A GAME LIKE FREE FIRE,16,0,0,Kalzoo TV,0
889JB7T-nqw,2025-01-04T19:44:42Z,Matr1x fire #2,12,1,1,Xcar1,0
WYLROKnB7xM,2025-01-02T07:47:11Z,【MATR1X FIRE 】kill highlight 147 #shorts #competition #gaming #fps,23,1,0,Seihello ch.,0
0BeBFjoEY28,2025-01-03T01:08:50Z,ปิ้วๆๆๆ [MATR1X FIRE],2,0,0,Miki Ch.美希【ブルースター】,0
tTM8skrpBhw,2025-01-02T12:16:56Z,MATR1X FIRE Gameplay: Intense 5v5 Matches,0,0,0,Dhiraj Rana,0
bzMYanS65-E,2025-01-04T10:28:44Z,MATR1X FIRE full review ⚡l Is this look like valo mobile ??,9,4,3,YoNexx,0
