,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,bJc8DGtQntE,2024-06-09T17:53:51Z,So the Moonveil is still BROKEN huh... Elden Ring,20814,722,85,Lost,107000
1,K0zT0UQlgqg,2024-06-14T21:00:11Z,Moonveil On NG+7 Was Too Tempting...,3727,84,20,TheJerseySide,1790
2,gm0Sf0qJIAI,2024-06-10T15:00:38Z,MOONVEIL IS WAY TOO OPPRESSIVE FOR HOW EASY IT IS TO USE | Elden Ring PvP,8452,300,138,Steelovsky,27600
3,2r8cv0-_bP8,2024-06-19T00:03:24Z,OP MOONVEIL KATANA Build Guide: Elden Ring,3150,41,16,Jay Dunna ,18900
4,IZ4pNRS_08o,2024-06-12T16:00:12Z,This Double MOONVEIL Combo Might Be BROKEN - Elden Ring PvP,1784,83,77,CapDayne Levi,2750
5,FiMw1jM3FYw,2024-06-24T12:00:19Z,MI HA FATTO TIRARE FUORI LA MOONVEIL - ELDEN RING DLC EP 3,581,82,6,FazzRewind,115000
6,X_uXN8xjX-0,2024-06-18T22:00:20Z,Malenia Arsenal: Moonveil - Elden Ring,32,3,0,Yartrigs,263
7,_Iozzx6TvDM,2024-06-16T01:40:40Z,THIS SWORD IS WAY BETTER THAN THE MOONVEIL | Tony Statovci Plays Elden Ring #22,16836,1050,132,Tony Statovci,423000
8,fpNTJ92ctKQ,2024-06-10T10:51:58Z,Moonveil | How To Get The Best Weapons | Elden Ring,166,2,2,DefectiveGaming,1450
9,2grGkggEnwY,2024-06-16T14:27:56Z,Moonveil is “oppressive” in Elden Ring PVP,8,0,0,shmutz,1
10,Q6YtAtGfjio,2024-06-07T14:33:02Z,Elden Ring OP Mondschleier Katana Build Deutsch Samurai Moonveil Build mit FP Regeneration,5410,97,42,CheckpointXander,30300
11,AYNBwsVzXHI,2024-06-07T17:00:07Z,INSANE BLEED Moonveil And Uchigatana DEX/INT BUILD GUIDE | Elden Ring DLC,1041,26,12,Elbethium,23200
12,cCfxvvR__Zk,2024-06-15T22:34:11Z,"Elden Ring - Mogh Lord of Blood vs Moonveil, DLC Unlock",118,1,5,Gogene,30
13,j8fSZuFROu8,2024-06-04T16:03:49Z,Elden Ring - The Moonveil Mage will make you RAGE!!!🤬 Dex/ Intelligence pvp invasions,14,1,2,MooseBruce,17
14,Pp23vavK30U,2024-05-26T14:30:14Z,"I Tried One Of The Best Katana's ""MOONVEIL"" In NG+7 (No-Damage) | Elden Ring Best Build",2648,46,24,SoulBlaze,777
15,pYixPx9rRYk,2024-06-17T05:30:34Z,Countered moonveil with a backstab. 🌙🌌,42,2,1,sphony,246
16,nCCQNYlYmZY,2024-06-09T22:14:53Z,Derrotando Godrick com a Moonveil,1,0,0,Andre Marasca,2030
17,nhSBp4lQ188,2024-06-20T01:04:49Z,Playing Elden Ring | Moonveil Meteoric Ore Blade Dual Build | Juno Hoslow the Knight of Blood,10,1,0,Abken,49
18,zCrSYbPSgJE,2024-05-31T10:46:57Z,ELDEN RING me being toxic moonveil invader,6,0,0,Slave knight Dante,110
19,xzq7PG61g4M,2024-06-18T23:22:47Z,3 Blasphemous Blades VS Moonveil Mage - Great-Jar Battle,121,1,1,420IQPotato,23
20,80F5iwvQI5A,2024-05-28T13:55:57Z,Mohg vs Moonveil,17,1,1,Darth Cappuccino,7
21,G92y4jpA1jM,2024-06-15T02:40:20Z,Can you upgrade Moonveil past 10?,4,0,0,Short Answer Show,763
22,pTrtxUFcepg,2024-05-28T23:15:15Z,Playing Elden Ring | Baleful Shadow Boss Fight | Dual Moonveil & Meteoric Ore Blade Build,8,1,0,Abken,49
23,7YyXL_BaHD4,2024-06-03T11:04:02Z,ELDEN RING™ - Lich Dragon Moonveil,1,0,0,IgnoranceIsBliss808,86
24,cIqWvByJ-7Q,2024-06-19T16:46:19Z,Moonveil How to get the best katana weapon elden ring,525,7,0,Izon,100
25,nRCqIPFQ4pg,2024-05-31T10:48:45Z,ELDEN RING im a moonveil spammer 🫥🤮,0,0,0,Slave knight Dante,110
26,8PDWVx6hwpY,2024-05-31T16:15:58Z,Playing Elden Ring | Crucible Knight Siluria Boss Fight | Dual Moonveil & Meteoric Ore Blade Build,7,1,0,Abken,49
27,dU71RGR6LQE,2024-06-16T08:53:42Z,Misbegotten Warrior & Crucible Knight J2 | Moonveil Build | ELDEN RING,7,0,0,Issam Abdoh,31
28,JrN0scMKFVg,2024-06-19T15:50:10Z,Playing Elden Ring | Moonveil Meteoric Ore Blade Dual Build | Morgott the Omen King,4,1,0,Abken,49
29,3z1mPBK5svA,2024-06-14T10:27:16Z,3 vs moonveil - Elden ring #playstation #eldenring #gaming,439,7,0,Emma-70 ,1070
30,TDH7HWetj8o,2024-06-16T19:53:14Z,Elden Ring PvP Compilation #9 Moonveil Build,9,0,0,Issam Abdoh,31
31,RblWqf30nMo,2024-06-20T00:26:19Z,Playing Elden Ring | Moonveil Meteoric Ore Blade Dual Build | Dual Putrid Avatars Boss,11,1,0,Abken,49
32,8ltfikHU1DY,2024-05-28T21:30:06Z,ELDEN RING™Maliketh moonveil,4,0,0,IgnoranceIsBliss808,86
33,1fBcyS4Cxec,2024-05-28T11:17:51Z,ELDEN RING™- Maliketh Moonveil,2,0,0,IgnoranceIsBliss808,86
34,E25uDQxFLgQ,2024-06-13T14:00:11Z,FASTEST WAY TO GET MOONVEIL (Starting as Magic Samurai Guide) - ELDEN RING,223,2,0,Crassa,50
35,oDUPYDFqtUs,2024-06-09T21:26:42Z,Derrotando Morgott com a Moonveil,1,0,0,Andre Marasca,2030
36,xPbkP6QXwYM,2024-06-19T11:34:34Z,Playing Elden Ring | Moonveil Meteoric Ore Blade Dual Build | Godskin Apostle (Divine Tower),12,1,0,Abken,49
37,TRxUl-6_KAQ,2024-06-01T04:29:14Z,[Live] Elden Ring | D's Twin Boss Fight | Dual Moonveil & Meteoric Ore Blade Build,3,1,0,Abken,49
38,It4brBldWkM,2024-06-09T14:05:47Z,Yeah I wanted him to keep using moonveil here.,37,1,0,sphony,246
39,URpZlQGv1F0,2024-05-30T23:20:56Z,2000+ Hours Of Playtime (Moonveil Katana) #runelevel1 #hitless #eldenring,91,8,1,KG,7730
40,Ww8DGIks5KA,2024-06-16T13:19:54Z,"Black Blade Kindred (SL50, Moonveil +8)",0,0,0,Samuel Del Solar,13
41,zqFf7CkJSSU,2024-06-02T15:14:33Z,ELDEN RING™ - Lich Dragon - Moonveil,1,0,0,IgnoranceIsBliss808,86
42,-ZVOmk5Cw2E,2024-06-02T07:07:33Z,INT katana moonveil #eldenring #samurai #edit,441,7,0,Last Knight,25
43,MawE6PdHwl0,2024-06-01T04:24:52Z,[LIVE] Elden Ring | Lichdragon Fortissax Boss Fight | Dual Moonveil & Meteoric Ore Blade Build,5,1,0,Abken,49
44,072_LckEh1I,2024-05-30T16:56:38Z,ELDEN RING 8-0 moonveil spammer,10,1,2,Slave knight Dante,110
45,zC5mwKjSNWA,2024-06-01T22:58:41Z,"Elden Ring - Astel, Naturalborn of the Void (NoHit - Solo - Moonveil + Uchigatana)",42,1,0,itsNeverwinter2,1
46,1Ozzq45vUmk,2024-05-30T15:46:40Z,Spamming moonveil can backfire...,0,0,0,Schneiderei Schneider,3
47,PHJ6Rp9Fu0k,2024-06-08T14:42:50Z,Beating Malenia with Moonveil,5,1,0,Lu Xian,0
48,vwC7jgv6aDE,2024-06-16T21:43:46Z,"Commander Niall (SL50, Moonveil +9)",0,0,0,Samuel Del Solar,13
49,UcOkh5LQrj8,2024-05-27T16:50:51Z,Playing Elden Ring | Gargoyles Boss Fight | Dual Moonveil & Meteoric Ore Blade Build,13,1,0,Abken,49
