,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,jDp0f1JTHVE,2024-03-18T21:45:19Z,NINE CHRONICLES 2024 UPDATE! | FREE TO PLAY IDLE RPG GAME | WEB 3,2897,8,3,GG Nics,62000
1,HBHkehm0zJ4,2024-04-01T05:44:28Z,Pass Stage 316 In Nine Chronicles Easy,22,0,0,NFT Gamer and Collector,1100
2,CpSP9rsKiYA,2024-03-29T13:37:13Z,NINE CHRONICLES | Explaining Mocaverse integration,75,3,0,Blockchain Gaming World,8850
3,UViwA7D1Of4,2024-04-05T17:00:06Z,Nine Chronicles M 6.4,2,0,0,Sota,237
4,NnLEGlewEpo,2024-04-01T03:04:00Z,Nine Chronicles M,1,0,0,dangER's,438
5,mNS2amqWfSg,2024-03-28T13:07:13Z,ایردراپ MocaVerse - ادامه همکاری با Nine Chronicles,458,21,26,Amoo Hossein,8650
6,FMOkuSNdecs,2024-03-28T12:35:39Z,Nine Chronicles - Chơi game lụm lúa free 5-10$/Tháng - Giới thiệu tổng quan và cách kiếm tiền,50,0,0,Sói Nâu NFT Gaming,32
7,rGqQzegLJXs,2024-03-19T10:11:43Z,ဝင် ကိုး ဝင် (ဝံသကျမ်း) Nine Chronicles,96,1,0,CAMARI SKC,160
8,CNDtQwgMe74,2024-04-05T17:00:11Z,Nine Chronicles M 6.4,6,0,0,Sota,237
9,3snED8PNSbM,2024-04-04T10:04:34Z,Cloud Nine Chronicles (feat. Jedi Jo & kabrioo),0,0,0,nightluxe - Topic,0
10,z2CTYPst06s,2024-04-11T16:35:08Z,Caleb the Cannibal Chronicles | Brooklyn Nine-Nine Shorts,14490,568,0,CBSWatch,4170
11,LVwev1CM6Nc,2024-03-15T01:35:47Z,Cloud Nine Chronicles,19,0,0,Lofi Alien - Topic,72
12,aMHpsZNf3Ag,2024-04-07T08:45:58Z,Cloud Nine Chronicles,3,0,0,Feelgood Fusion Squad - Topic,0
13,pRg-A0-JwgE,2024-03-29T14:23:45Z,Nine Princes in Amber REACTION (The Chronicles of Amber 1: SPOILER-LITE),31,4,0,Fantasy for the Ages,1060
14,fP70EzufYuQ,2024-03-28T23:00:31Z,B.S. Session | Nine Finger Chronicles,43,1,0,Sportsmen's Empire,5310
15,dVvIFQ2o_Lk,2024-04-03T09:00:22Z,Public Land B.S. Session | Nine Finger Chronicles,124,2,0,Sportsmen's Empire,5310
16,pmpOYh3OZdw,2024-03-24T19:51:21Z,The Whiskered Chronicles: Quest of the Nine Realms,14,1,0,WhimsiWorld,0
17,h62_wrdQ8AM,2024-03-19T23:00:23Z,NWTF Annual Turkey Episode | Nine Finger Chronicles,33,1,0,Sportsmen's Empire,5310
18,kIRQelltQ34,2024-03-28T21:14:08Z,"Season Nine, Episode Eight: Chronicles of Crime",0,0,0,The Board Boys Podcast,258
19,HGM7bF-Ql6Q,2024-04-07T02:28:47Z,Wild Rift Chronicles: Part Nine - Yasuo Gameplay!,69,2,0,Barış ,12
20,-F6swpPx0_4,2024-03-21T23:30:00Z,Derailed B.S. Session | Nine Finger Chronicles,36,0,0,Sportsmen's Empire,5310
21,8wJ_t8PTh_w,2024-03-26T23:00:09Z,A One Eyed Buck Story | Nine Finger Chronicles,46,2,1,Sportsmen's Empire,5310
22,gehCJIm7bMY,2024-04-07T03:16:40Z,I read The Chronicles of Amber by Roger Zelazny. Book One: Nine Princes in Amber. Chapter 5,4,0,0,Lightmane,365
23,eHXzI7t0faI,2024-04-01T08:25:23Z,[LIVE] NINE GAMES UNBEATEN UNDER NATHAN JONES // THE CHARLTON CHRONICLES,275,25,0,Joshua Willcox,1230
24,dJSplcHu8JM,2024-03-24T17:52:29Z,I read The Chronicles of Amber by Roger Zelazny. Book One: Nine Princes in Amber. Chapter 3,5,0,0,Lightmane,365
25,rErU5Nz1f_E,2024-03-20T02:08:18Z,I read The Chronicles of Amber by Roger Zelazny. Book One: Nine Princes in Amber. Chapter 1,22,1,0,Lightmane,365
26,NI15W3D8Nf4,2024-03-22T21:02:56Z,I read The Chronicles of Amber by Roger Zelazny. Book One: Nine Princes in Amber. Chapter 2,4,1,0,Lightmane,365
27,H-qSx4e71T0,2024-03-15T20:09:56Z,Thor's Quest : The Nine Realms Chronicles  #funny #art #shortstory  #thor,988,38,1,Fake or Real ,559
28,OW-H9zqbeMQ,2024-04-04T21:30:01Z,Eloise Beaumont Episode Nine (Newcrest Chronicles Sequel),29,1,0,RomanceWriter1,930
29,3YmBNrqMd2c,2024-03-30T04:08:47Z,I read The Chronicles of Amber by Roger Zelazny. Book One: Nine Princes in Amber. Chapter 4,7,0,0,Lightmane,365
30,XVJeHDHap10,2024-04-10T17:20:06Z,Tha Chronicles of a Nine Tailed Fox - Episode 2,30,2,0,"KfeezY, the Nine-Tailed Fox",47
31,VDXuCpEUmK8,2024-04-10T23:00:11Z,Spirit Of My Father | Nine Finger Chronicles,52,1,0,Sportsmen's Empire,5310
32,hW-4sWyo48c,2024-04-11T23:00:27Z,A Wisconsin Outdoorsman | Nine Finger Chronicles,48,1,0,Sportsmen's Empire,5310
