Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
_FWTdpbO9o8,2025-01-03T20:00:30Z,building a sims house that's *completely* off the grid (no power or water!),170189,12397,299,lilsimsie,0
r1r5sVpRz10,2025-01-03T10:30:06Z,Women 2 years living off the grid Harvesting giant red cordyceps mushroom goes to market sell,1657,672,2,Phương Daily Life,0
GOrGvfKOCCs,2025-01-04T18:00:11Z,Why Starlink Mini is the BEST Choice for OFF GRID Internet in 2025,2433,202,13,Ham Radio 2.0,0
033otlzoLzw,2025-01-01T12:30:00Z,Here’s a peek at Kriti’s unseen moments from 2024—off the grid full of vibes! .#shorts #kritisanon,416,0,0,Viral content ,0
bHpjA7W_zsI,2024-12-30T11:00:06Z,"Living off the grid - Ana gardens, Jack builds a pond to raise fish, chickens and ducks",87284,1884,46,Off Grid w/ Ana & Jack,0
SJou4cn9000,2024-12-31T10:15:06Z,Rescue an injured hunter from the forest | LIVING OFF THE GRID | Episode 43,17068,315,25,Mr Deep,0
LFWcY_ppFhY,2024-12-31T15:00:27Z,2024 Year In Review | Gaming Off The Grid,4937,392,92,Gaming Off The Grid,0
L4LQEQONiQw,2024-12-31T04:55:33Z,Off the grid - sniper play,4,1,0,Travyball ,0
IieoEUaWPxw,2025-01-03T18:38:12Z,Off The Grid (feat. BigWestt),90,2,0,OFF THE GRID FREESTYLE SHOW WITH DJ SPINLYFE - Topic,0
XRhdzqSliRo,2024-12-30T07:53:49Z,PS5 Off The Grid FPS Test,1880,81,1,HiTechKing,0
Ezij0cVQhE8,2024-12-30T03:21:50Z,Off the grid,2,1,0,J-C-flex,0
BU1eQ_kIt74,2024-12-29T19:00:28Z,OFF THE GRID GAMEPLAY | WIN MEU AMIGO PRO PLAYER GANHO A PARTIDA NO FINAL | OFF THE GRID LOADOUT,96,0,2,MAGNIGOLD ,0
aQbQZQsDL64,2025-01-04T19:24:00Z,Off The Grid DIY L-Shaped Tiny House Tour,10898,714,10,Alternative House Short,0
olZEgpN6V-s,2024-12-31T15:39:23Z,Going off the grid,513,11,0,BassKiller fishing,0
3gz4vp8dd7E,2025-01-01T01:11:00Z,Off The Grid,35,0,0,AOG Astro,0
yvDzfY6AfPs,2025-01-01T10:00:45Z,"Off The Grid - ""DUB"" (WIN)",2,1,0,JBrownVidz,0
Pesn_6qgsWc,2024-12-29T21:00:15Z,My Neighbor Complained To The Community Off Grid Living In A Tiny House,6112,414,12,Little House Off Grid,0
xASFxYAuPd4,2024-12-30T02:32:03Z,Off The Grid - Fixing The Ping Spikes,29,2,1,ReezzieTTV,0
YmpGyOD47YA,2025-01-01T08:43:30Z,Living Off The Grid Benefits,1,0,0,Victoria Fisk,0
iTdq_DAOFQw,2024-12-29T21:43:47Z,OFF THE GRID EARLY ACCESS 👀🔥   #gaming #offthegrid #hex #nft #nfts #crypto #xbox #playstation #pc,523,4,0,machomigoo,0
vmHJ6NdteBk,2024-12-29T22:35:58Z,Off The Grid| How to use cyberlegs & Backpacks| GAMEOUT GAMING,15,4,0,GAMEOUT GAMING,0
XO-Q_R9JG6E,2024-12-31T12:26:09Z,Primeira experiência jogando Off the Grid ....,38,2,0,NEON_OFCL,0
1EtdIRCaxVg,2024-12-29T21:40:51Z,Snaip bom Off The Grid,7,0,0,TonerickBR,0
AqHIF-hhRvc,2024-12-31T03:03:48Z,How a bad drop In off the grid be have you bad off 😂😂😂 #offthegrid #ps5pro #tooslickgaming #fyp,557,3,0,TooSlick_E,0
udhw-YLoOTo,2025-01-04T20:58:25Z,OFF THE GRID'S Director of Web3 REVEALS EVERYTHING...,65,3,1,Mario Nawfal,0
2gaV3X7K2p8,2024-12-30T08:52:10Z,Off The Grid Daily Dubs,37,1,0,BRISCO BANKS!,0
QpGl0pvH0T4,2024-12-30T20:18:31Z,Off The Grid gameplay,5,1,0,DaGreat,0
3LDmjE-e0SE,2024-12-30T12:40:17Z,OFF THE GRID \ 🔥 Game play only 😁,3,0,0,Hodby Hive,0
1fT8yRo-TwY,2025-01-01T08:18:53Z,Off The Grid PS5,10,0,0,Виктор Ковалев,0
wFPFM3Ht2SU,2024-12-31T05:58:59Z,Off The Grid - 10 Kill game,9,0,0,ZombieKiwi420,0
rIuPPvJUMow,2024-12-31T09:05:55Z,trying out Off The Grid,1,0,0,b0rnc0nfused_,0
qxfW4PFlpYQ,2024-12-29T20:09:52Z,Off The Grid,5,2,0,Robson Oliveira Rapanelli,0
tJKQcGwO0wA,2025-01-01T08:47:49Z,Off the grid,0,0,0,Raccoon Games,0
_aOYaLlG0Ls,2024-12-29T17:48:11Z,"Off the Grid, Early Access, Extraction Royale",3,0,0,JinnBane,0
haByUR9fWuo,2025-01-01T14:32:17Z,Off The Grid this is broken big time..😒😒,5,0,0,Cadman_28,0
sGPjZIvLuwI,2024-12-31T05:45:55Z,Off the Grid - More Hexe grinding!,7,0,0,Hikari-en,0
Hfknw2hbVfI,2025-01-01T10:34:07Z,Off The Grid - Console sweats average POV,20,4,0,Keefu ,0
3ViA-K5R7Gs,2024-12-31T08:06:02Z,Off The Grid My Settings,47,5,7,BRISCO BANKS!,0
UWtuVb7WXBk,2024-12-31T17:42:36Z,"Off the Grid, Extraction Royale, Trios 02",1,0,0,JinnBane,0
8dCHlllY85I,2024-12-31T11:32:57Z,Off The Grid Early Access 5 kill win,11,4,0,Sjk ,0
3MdTCBpYcpE,2025-01-01T12:34:40Z,OFF THE GRID CLIPS,20,1,0,UpInYaShizz HVOS1,0
dDl7AxTSC0w,2025-01-01T07:27:41Z,🔴LIVE - RAGING OUT TO OFF THE GRID AND MORE....!,22,0,0,The UC Zone,0
gN_jwBOTyNQ,2024-12-31T21:49:43Z,Off the Grid Gameplay: Experience the Wild Side of Extraction Royale!,13,2,1,WEB4000,0
yNxnUApr2To,2024-12-31T10:37:44Z,Off The Grid bush whacked,1,0,0,Burning_Jedi,0
dxwdcPm3unE,2024-12-31T11:52:40Z,Off the grid early access 5 kill win 🥇,42,4,0,Sjk ,0
vQUM7qluOQU,2024-12-31T21:25:46Z,Dos Victorias en Off the Grid,5,0,0,NicaFloki,0
3JBHNXwizUE,2024-12-30T03:59:38Z,Off The Grid Squad Wipe,28,0,0,Watchus,0
Z4y0R0J24tI,2024-12-31T23:56:47Z,off the grid /// cyberpunk multiplayer,1,0,0,Grundys,0
cP8v7GNkXnM,2025-01-01T07:15:01Z,Off the Grid Demons,2,0,0,Off the grid Swizzy,0
pI7cDwGUvt4,2025-01-01T01:33:34Z,Duos? Off The Grid Daily Dubs,113,5,0,BRISCO BANKS!,0
cP8v7GNkXnM,2025-01-01T07:15:01Z,Off the Grid Demons,2,0,0,Off the grid Swizzy,0
3JBHNXwizUE,2024-12-30T03:59:38Z,Off The Grid Squad Wipe,28,0,0,Watchus,0
wY9C1CJYGP0,2024-12-31T12:41:00Z,Off the Grid,4,1,0,Wacky weed813,0
TrIqoCdqjT0,2024-12-31T19:48:33Z,Off the Grid Santy y Pepon,0,0,0,Abrego1977,0
jGvDUfR99nQ,2025-01-01T08:37:22Z,"Off The Grid, Extraction Royale, Trios,",0,0,0,JinnBane,0
y-RQRsQ2MwY,2024-12-31T17:51:13Z,Tournament Game with NEW Settings! Off The Grid!,107,12,7,STAR CLAN,0
N3yxrLdBz_s,2024-12-31T14:49:50Z,Epic Off The Grid moments how to play #shorts  #gaming #rap #gamer #epic,13,0,0,TYLO TV Gaming ,0
TFXslUbGeb8,2024-12-31T04:54:52Z,Off The Grid - ripper play,5,1,0,Travyball ,0
aYCJQmFTsho,2024-12-30T17:44:05Z,Off the grid battle royal coming soon,2,0,0,cameron bigart,0
AUWAuiB7TX0,2024-12-30T18:00:48Z,Top NA East player on off the grid,14,2,0,YTFAKE_XD69,0
w8e-OTTcXbc,2024-12-31T18:42:34Z,off the grid   squad wipe,5,0,0,Tasmandevil,0
kSgotSUVwRM,2025-01-01T09:01:54Z,🌌 Off The Grid LIVE! 🛡️ Tactical Survival & Cyberpunk Action Awaits! 🚀,0,0,0,Krishnareddy D,0
deYKHwn3Fjk,2024-12-29T18:48:55Z,Off the Grid Tripple,0,0,0,FallenRomanHero,0
_jo2BmZB2rQ,2024-12-31T01:18:57Z,Off The Grid,2,0,0,RealYoAstroid,0
LGfPsOfL0oA,2024-12-30T10:02:41Z,"Off the Grid, Early Access, Extraction Royale",3,0,0,JinnBane,0
EQ0wkrFxWtc,2024-12-31T18:42:53Z,TripMine.EXE - Off The Grid Gameplay Battle Royale,52,1,3,Suco Vidya,0
