Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
jRzCCd8LTzQ,2024-11-19T07:00:26Z,🔴[Live] Day 8 in Parallel TCG 👽🔥 Join Fast !!,205017,2145,3,EVA RONY,2390000
eLnP1aTMeiw,2024-11-15T15:03:51Z,Trying out PARALLEL TCG!,551,23,1,Twisted Bricks,108000
VEuMM-VbDqY,2024-11-13T21:04:25Z,Grind Meta Incoming! Patch 0.60 Review (Parallel TCG),90,10,5,Mookah,86
1vd1sykvS6g,2024-11-12T23:54:23Z,MASTERING PARALLEL TCG with @NoobPaRiYT,249,67,7,Parallel India,6060
_hFbN9_aNQY,2024-11-13T17:05:15Z,Parallel TCG India,12,3,0,MTR GAMERS,2280
mO_ag7qw-2k,2024-11-12T19:00:35Z,"🤯 PARCHE 0.60: MAS $PRIME, NUEVA EXPANSION, MURIO EL SHROUD? | Parallel TCG",129,23,10,KADI PARALLEL,231
F3u-kVqRFe0,2024-11-15T21:43:03Z,My PRO GAMING Journey with Parallel TCG,495,18,1,Eagles Guy,41300
JpNHHJ4AB3I,2024-11-19T07:05:25Z,Explore Parallel TCG live with @shivkanyagaming #live #trending,247,58,4,Parallel India,6060
sebINhFUo8E,2024-11-19T08:22:49Z,Quantum Unleashes the Parallel Meta: Claim Your Rewards Live! | #tcg #paralleltcg #live #trending,406,78,14,Parallel India,6060
PMuK4sO91tY,2024-11-15T20:07:39Z,Unpacking Parallel TCG Cards | First Look,52,4,1,Syl Gaming ,2940
gsbecV24PXQ,2024-11-19T03:13:00Z,Parallel TCG - Everything you need to know about the Aftermath Expansion,40,9,2,The Bloody Point,473
UmJTcN6V46U,2024-11-18T09:30:22Z,Patch 0.60 Brings Big Changes to Parallel TCG! 💥,117,77,75,Parallel India,6060
b-Cl4vtqvDQ,2024-11-17T01:50:19Z,@realunicornib is battle ready for Parallel TCG! Don’t Miss Out Exclusive Stream!,252,64,15,Parallel India,6060
FRIIsC5Fkzo,2024-11-18T03:19:27Z,Parallel TCG - Rematch with xZeRoKuNx (No sound for first minute or so!),15,4,0,The Bloody Point,473
RpSxEr6TDJg,2024-11-16T03:35:32Z,Eva Rony Takes on Parallel TCG | #live #trending,475,79,3,Parallel India,6060
MJobYMq20M4,2024-11-18T16:00:17Z,One Piece TCG Parallel SR Pulled at the Mall/Whenever Wherever Series,10,3,1,The Not Rich Collector,159
