,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,HzKHfSz9lYA,2024-11-03T17:30:05Z,PARTY ICONS: ¡Explora el Partyverse y Gana Recompensas Exclusivas! 🎉 Alpha Boxes y Party Points!,619,34,7,Luishimaru | De Grano En Grano ,95600
1,l7IYfZ_uyuA,2024-10-28T18:45:05Z,Party Icons: El MEJOR Juego de Fiesta y Battle Royale que Cambia las Reglas de Play To Earn 🎉 🔥,945,47,9,Luishimaru | De Grano En Grano ,95600
2,5pXhTulWL88,2024-10-31T03:12:54Z,"Super Mario Party Jamboree WAVE 3 downloadable icons - Switch Online, limited time #MarioParty",545,14,1,Zack “SquallSnake” G,4520
3,ZVuz8tE-b5A,2024-10-30T04:01:26Z,Super Mario Party Jamboree WAVE 2 downloadable icons - LIMITED TIME #mariopartyjamboree #MyNintendo,602,6,0,Zack “SquallSnake” G,4520
4,WDgt_ZR6B5Q,2024-11-04T12:00:45Z,PARTY ICONS -  NOVO JOGO NFT NA RONIN COMO CONSEGUIR O PASSE DE GRAÇA E FARMAR TOKENS E SKINS NFT,326,37,10,100% NFT GAMER,25800
5,mYL3DYTWufE,2024-10-28T16:21:07Z,Anthem Icons - 5-Piece Pop & Rock Party Band - Entertainment Nation,184,3,0,Entertainment Nation,2670
6,nI3AxJD-akg,2024-11-01T19:36:50Z,Party Icons esta BUENISIMO ! Nuevo JUEGO NFT GRATIS en PC y MOBILE ! Como jugar ?,663,39,15,EL REA,39900
7,3_c16iV4l7g,2024-11-03T21:03:42Z,Inicia la Fase 1 Quest de Party Icons,212,20,1,SoloNFT,2640
8,6qV9OQ5Bzos,2024-11-04T11:49:47Z,🛑[LIVE] RAPOL GIVEAWAY Pixel Heroes PCODES + Party Icons MIRPASS LIMITED ACCESS CODE,275,49,17,ALROCK,68700
9,IcxFfvtB1QI,2024-11-02T21:10:15Z,BASICOS DE PARTY ICONS con LMT #RoninCreator #RoninGamer #LMTCreator,21,11,3,ZoeLord,59
10,RZDfYKBU6a8,2024-11-03T15:40:37Z,Party icons,2,0,0,007PeakedClub,0
11,_7GLqUS1tzA,2024-11-02T14:30:30Z,"Party Icons x Ronin - Se Parte De Algo Grande, Hermoso, Eventos y sorteos En Magic Gaming Universe",53,5,0,CaponeCrypto NFT,266
12,shyAJAaN96o,2024-11-03T05:19:25Z,🔴PARTY ICONS X BRGY.TAMAGO FREE MIRPASS CODE CLAIM NOW!,76,12,2,NinjaFarmer,6900
13,cH7H5aZIQiA,2024-11-02T08:40:20Z,PARTY ICONS @PartyIconsOGX ！11月6日即将开启的封闭式打金季！你准备好了吗？,11,0,0,T1LABS,5200
14,JsUl3B_G3mY,2024-11-04T11:42:13Z,"🎁Party Icons Airdrop💰Get Reward 25,000 PPT 🎉For All User",8,0,0,S4 offer,63
15,UUJi68o67Fs,2024-11-04T12:29:34Z,🛑[LIVE] PARTY ICONS MIRPASS REDEEM LIMITED CODE GIVE AWAY,0,0,0,Dong ayan tv,2420
16,mzDsP0FEinY,2024-11-01T02:45:10Z,Hunting Hue: 'Icons Of Sydney' Launch Party | Icebergs,17,0,0,Hunting Hue,1
17,8N9ixxqvg5M,2024-10-31T15:38:37Z,New Wave of Super Mario Party Jamboree Icons Launches for Nintendo Switch Online Members!,127,1,0,NewsBOT Gaming,43
