Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
eYPLu2YHGDI,2024-12-30T08:54:32Z,pixel heroes idle gameplay part 3 [android and IOS],2,0,0,Richie Gamer and Gameplay,0
JqW9lPghRJY,2024-12-30T20:36:16Z,🎄✨ evento de navidad en pixel heroes 🎮📱 ¡juega con UGPHONE tu móvil en la nube esta navidad! 🎁,1587,18,8,EnvyMatt,0
qAu85r95IZk,2024-12-30T09:00:50Z,Залетел с двух ног в (Idle Pixel Heroes :Idle Merger),7,0,0,Японский Персик ,0
pjHeV6x9Ylg,2024-12-31T23:29:40Z,I recorded some gameplay of Fire Emblem Heroes on my Google Pixel 9 Pro XL.,7,0,0,Paul Quin,0
kVPXwxNvPRI,2024-12-29T19:28:52Z,Jugando🎮 Super Pixel Heroes🥊 parte 5,42,0,0,Gaflopla,0
-jyEaB7ZBw0,2025-01-05T06:15:49Z,PLAY BINGO and POTENTIALLY WIN PIXEL HEROES ADVENTURE GENESIS NFT,231,4,2,Aftermath TV,0
R81WvejIsMU,2025-01-02T12:31:08Z,"PIXEL HEROES : NEW EVENT PWDE KANG MANALO NG 10,000 PESOS SA PAG LALARO LANG NITO",1041,19,7,NinjaFarmer,0
3R3mxYBV3gQ,2025-01-01T07:41:37Z,Rogue Heroes: Ruins of Tasos – Pixel-Abenteuer mit Stil! 🎮✨ #rogueheroes #gaming #roguelike,34,2,0,Killing Bytes,0
OvhgDSe5tiM,2025-01-01T21:00:10Z,NEW CODE Pixel Heroes: Emond Saga Giftcode & Redeem Code January - Mobile Game (Android/IOS),42,0,0,Tomex Gammer,0
8gskn0ryknQ,2025-01-04T14:04:28Z,Pixel heroes by Over Pixel. #streamer  #figurine #nintendoswitch #nintendo #art #geneve #,521,6,2,Over Pixel,0
wtLgT8ZGRSU,2025-01-02T06:07:56Z,S112 F2P Day 67 Pixel Heroes - Finally reached Lv. 120,78,2,0,FaymystG (Faymyst),0
-PAFbyNUORg,2025-01-05T01:44:10Z,PIXEL HEROES ADVENTURE,147,8,0,gaming id,0
7mJ5umxJ1tk,2025-01-05T08:40:13Z,PIXEL HEROES ADVENTURE FARM KEY,28,1,0,gaming id,0
XrhFdv4GXTE,2025-01-04T14:46:21Z,LIVE SERIES PIXEL HEROES ADVENTURE (PHA),13,1,0,gaming id,0
2_7muNboUPI,2025-01-03T06:49:57Z,"Pixel Therapie Special with Martin Klekner: Heroes, Kingdoms and Gaming (English)",58,9,3,Pixel Therapie,0
