,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,Uq3yejSl1Qs,2024-10-28T20:10:15Z,Battle For Mt. Umbra | Runiverse Halloween Event,48,2,0,AxieFaction,16100
1,135OBkSfnUQ,2024-10-29T09:09:10Z,Forgotten runiverse Edison Metaverse Event,740,22,1,CAGYJAN,79200
2,bT2imJH3R18,2024-10-31T04:30:17Z,Forgotten Runiverse x Edison Gameplay Part 1 - How many Donuts Did You Get? | 3 Days Event only,50,3,4,Magkapera,2960
3,u_xucRVINnE,2024-10-28T21:29:36Z,"Novos Mints do Kaidro, Evento Halloween Forgotten Runiverse e mais! 🚨 GAZETA RONIN",495,66,0,Gustavo Nenesk,52600
4,Vee57nc9CJI,2024-10-29T11:12:07Z,"Les news play to earn du 29 octobre (Aurory, Forgotten Runiverse, Arbitrum...)",277,19,1,Jeux Crypto FR - Play to earn,11300
5,Wzcc8psiGMw,2024-10-31T09:54:10Z,Forgotten Runiverse x Edison Gameplay Part 2 - How many Donuts Did You Get? | 3 Days Event only,16,0,2,Magkapera,2960
6,Z9Nyzw058JE,2024-10-29T14:28:48Z,Tutorial sobre o evento do Forgotten Runiverse!!,48,4,0,KedellzinhoGamer,455
7,TkKjIewoAJw,2024-11-02T02:11:48Z,Runiverse anunciado! P2A 2 TMA e muito mais!! Confira o resumão,31,5,0,KedellzinhoGamer,455
8,Hy5fZdiunC4,2024-10-29T10:30:03Z,Battle For Mt. Umbra | Runiverse Halloween Event,107,7,2,AxieFaction,16100
9,-Vmf7SWTePk,2024-10-30T06:50:09Z,Runiverse Halloween Event Gameplay,154,4,3,Dip Karmakar,6690
10,Tc98vteFOPM,2024-10-29T16:11:10Z,Battle For Mt. Umbra | day 1-pt 2| Runiverse Halloween Event,72,3,0,AxieFaction,16100
11,_i1Lhd6Aezo,2024-10-29T01:02:59Z,RUNIVERSE & HUNTERS  l GANHE PARA JOGAR,272,23,0,Criptonistas,996
12,12lNt3Jb4-I,2024-10-29T01:28:04Z,[+18] VIVENDO DE JOGOS - EVENTO HALLOWEN RUNIVERSE,20,1,0,Vinão Games,270
