,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,1GLjCBY-XiA,2024-03-31T12:21:46Z,Spider Tanks: Gold skin duo vs Double snoop :),19,1,0,wangtom힐톰,77
1,g5HFwpBFQrA,2024-03-30T12:19:20Z,Spider Tanks : Just block your position.. thats way to win,27,2,0,wangtom힐톰,77
2,EcXDKFoRQkk,2024-04-05T11:41:25Z,Spider Tanks : King of healer back,19,0,0,wangtom힐톰,77
3,ektmMljEn8o,2024-04-10T11:14:26Z,"Spider Tanks : Last play of Gold skin acc, legend healer ever",25,1,0,wangtom힐톰,77
4,gkY4RtWQZNc,2024-04-05T11:26:45Z,Spider Tanks- Gala Games / Танки - крипта Gala/Silk,80,3,4,Моис,1470
5,Vvrwtti809w,2024-04-07T11:52:19Z,"Spider Tanks : Best thrower in ST now, He is Korean, what a shame :(",16,1,0,wangtom힐톰,77
6,fBegm4hdYjA,2024-03-25T08:57:36Z,"Spider Tanks - Waffensystem ""Crossbow""",17,3,0,Chris Cross,3010
7,U9S2Bimd3V4,2024-03-24T05:01:59Z,Spider Tanks : Do not give up til the end of game,24,2,0,wangtom힐톰,77
8,Vtk6Naf-UV8,2024-04-07T12:22:55Z,Spider Tanks : So close game of today,6,0,0,wangtom힐톰,77
9,Pc78RMOt6xo,2024-04-02T15:39:31Z,Spider Tanks : Best ez weapon in the world,17,2,0,wangtom힐톰,77
10,IVLO5eQHXjI,2024-04-10T11:16:09Z,Spider Tanks : Hard game against 2 short range weapon :( last gold skin play,18,1,0,wangtom힐톰,77
11,XbVeTB-C8uc,2024-03-19T12:24:12Z,Spider Tanks : What a game.... clutch!! watch til the end,22,1,0,wangtom힐톰,77
12,XyKqdYsEpDo,2024-04-06T13:01:27Z,"Spider Tanks : Won with 2 types of healers, bobo enemies :) king bambi",34,1,0,wangtom힐톰,77
13,dAKdyeR9L94,2024-03-20T14:00:25Z,TOP 5 PLAY TO EARN MOBA GAMES RIGHT NOW | Spider Tanks #shorts,227,7,0,PlayToEarn,14000
14,GL7yn9SA7hA,2024-03-18T12:16:25Z,Spider Tanks : Shark always fun,21,2,0,wangtom힐톰,77
15,hHRrHdnV8D0,2024-04-04T19:30:21Z,PLAY TO EARN game Spider Tanks!!!,8,2,0,coltyy,16
16,quZ5xRQidzQ,2024-03-21T11:46:55Z,Spider Tanks : Won with short range weapon teamates,30,1,2,wangtom힐톰,77
17,SjK11B1tGQg,2024-04-05T12:08:58Z,"Spider Tanks : Shark Lord back, 0 death agsint flame, tiger, and lavaaaa",14,1,0,wangtom힐톰,77
18,VkMc7uHiXvE,2024-03-31T12:24:43Z,Spider Tanks : Double shark vs Double santa :) but am gold shark,17,3,0,wangtom힐톰,77
19,CdEPBVCTf6g,2024-03-19T12:45:16Z,Spider Tanks : 0 death Shark Lord,29,1,2,wangtom힐톰,77
20,xpiXnMgHOLc,2024-03-22T14:38:14Z,Spider Tanks : Mercy on me... stop bullying... :(,42,2,2,wangtom힐톰,77
21,O9eJ9uN6h5I,2024-03-29T01:00:18Z,Policeman Spider Ropehero Driving Cop SUV Car Military Tanks Escaping Simulator - Android Gameplay.,7874,30,1,Super Games,91900
22,tWs2N3lQuk8,2024-03-18T03:02:08Z,The Rise and Fall of Spider Tanks in South Korea,27,0,0,FazRadio,541
23,xc8RWRsSkiM,2024-03-21T15:00:51Z,DAY 14 WEB3 GAMES 📍Spider Tanks @GalaGames #web3india,17,1,0,WEB3GAMES 🇮🇳,10
24,yV-wElybEqM,2024-03-17T11:30:31Z,(Ultimate Mode) Black Spidey Tanks Octopus - Marvel's Spider-Man Remastered PC - Gameplay Part 12,1,1,0,Viham Mistry,1
25,RIQcGCCTqqs,2024-03-24T02:39:20Z,🕸️ Tunnel tanks. Part 16. | Marvel's Spider-Man Remastered,10,0,0,Sinapse,73
26,UwikmaRI8Ds,2024-04-10T23:04:10Z,W STREAM - Spider Tanks by GALA GAMES with [BIG]NastyCat,21,2,0,BIG AI,44
27,3nprbQbpczw,2024-04-10T23:22:41Z,MBT VS Spider Tanks,8,0,0,Arsenal XA4,249
