,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,t2n7GnYgs_s,2024-04-14T07:00:19Z,The Best Choice for ME in Splinterlands,603,46,32,Dwayne Cunningham,6400
1,ZYz63Kh54-c,2024-04-03T16:33:06Z,Splinterlands GLINT Deep dive!  What is the best way to spend it?,762,62,28,Gathering The Magic,789
2,X1yTlfpz3zM,2024-04-06T18:53:54Z,TOP SPLINTERLANDS PLAYERS ARE EARNING OVER $10/DAY,624,45,16,AfterSound Gaming,2510
3,PSJHM0_NVFc,2024-04-04T07:00:10Z,Concerned BUT Hopeful | Comments on Modern Rank in Splinterlands,813,42,42,Dwayne Cunningham,6400
4,NK8GmzsU1zk,2024-04-10T14:36:56Z,Splinterlands Baron's Bounty Bitcoin Halving Promo Event details!,351,31,6,Gathering The Magic,789
5,By_eOaE-kOw,2024-03-28T18:26:53Z,New Glint Rewards Coming To Splinterlands!,939,54,17,Bulldog1205,19400
6,5KiFrXwJRoc,2024-03-22T13:16:49Z,THE SPLINTERLANDS MOBILE APP IS BEING PHASED OUT,546,38,14,AfterSound Gaming,2510
7,9Z3oQgGnD1o,2024-04-04T23:14:35Z,Splinterlands GLINT Deep Dive Part 2 - Maximizing cards/Gold Foils/ Legendaries!,501,50,10,Gathering The Magic,789
8,QJWqwmGMPuo,2024-04-13T13:30:07Z,NEW GLINT IN SPLINTERLANDS REACTION FROM PLAYERS & INVESTOR SALT & CRITICISM QUITTING NFTs! #nftgame,31,7,0,Single Player Gamer,1230
9,PkKVEdBtVyo,2024-03-21T13:28:27Z,CEO of Blockbuster Blockchain Game: Splinterlands!,638,86,7,The Official Koinos Blockchain Channel,1180
10,Ha2tIRQc3nQ,2024-03-19T07:00:08Z,Selling ALL MY GOLD FOILS | Splinterlands,835,41,19,Dwayne Cunningham,6400
11,n6WuR3AIOxs,2024-04-10T16:36:45Z,Splinterlands - How to save the Glint store!,465,47,24,Gathering The Magic,789
12,t9cpJWSYuEY,2024-04-02T20:19:50Z,Splinterlands Final End of Season Chest rewards + first look at the new Reward Shop!,260,27,16,Gathering The Magic,789
13,anXhSpuhVdU,2024-04-07T22:50:53Z,Possible Hot Takes on Splinterlands New Player Strategy and Rewards Shop Changes,334,37,19,Bronzedrag0n Gaming,611
14,jSxgRNagViQ,2024-03-26T07:00:21Z,The End or Opportunity | Splinterlands,934,52,60,Dwayne Cunningham,6400
15,8p6FjABhJls,2024-03-18T04:15:00Z,EARNING OVER $120 PER MONTH IN SPLINTERLANDS,650,44,10,AfterSound Gaming,2510
16,oUoGgbCk2P0,2024-04-01T05:00:25Z,SOULKEEP WILL SAVE SPLINTERLANDS,742,49,17,AfterSound Gaming,2510
17,SQ5xCspldi8,2024-03-29T07:00:14Z,Solving The Bot Problem | Splinterlands,777,42,39,Dwayne Cunningham,6400
18,1sbGYQ_qE6A,2024-03-31T13:00:06Z,SPLINTERLANDS: Returning AFTER 2 MONTHS Checking Land Update GOLD FOIL MARKET PRICES CHECK NFT GAME,128,9,4,Single Player Gamer,1230
19,1h60hfNs0jY,2024-04-06T07:00:02Z,Talking Glint Rewards with Gathering & Twelve58 | Splinterlands,628,43,14,Dwayne Cunningham,6400
20,sTNbcYjp9mw,2024-04-09T23:55:03Z,A Huge Rewards Change Went Live Today in Splinterlands!,325,41,22,Bronzedrag0n Gaming,611
21,77PBS3swxn0,2024-04-08T07:00:04Z,How will I stay in MODERN after Chaos Legion? | Splinterlands,501,37,12,Dwayne Cunningham,6400
22,H2rHw74PifE,2024-04-09T00:11:56Z,SPLINTERLANDS NEEDS A FREE-TO-PLAY MODE,342,27,17,AfterSound Gaming,2510
23,GsvDylupkq0,2024-04-11T00:21:51Z,Baron's Bounty Splinterlands Halving Event Details Announced!,263,39,14,Bronzedrag0n Gaming,611
24,riBqRdI4ueA,2024-04-11T13:30:07Z,EMERGENCY GLINT UPDATE IN SPLINTERLANDS! PLAYERS ANGRY  REACTIONS! MANY PLAYERS QUIT! #nftgame,65,7,8,Single Player Gamer,1230
25,nri9nFinacs,2024-04-06T15:32:57Z,Splinterlands Market Watch #8  plus a couple market purchases!,225,19,9,Gathering The Magic,789
26,zWowUOt6rUQ,2024-03-18T15:13:56Z,"Venka the Vile! Talking Venka, Kai, and Airdrops! Splinterlands!",197,16,9,The Psilence,210
27,uTNUYwdzgkM,2024-04-02T07:30:11Z,ANSWERING SPLINTERLANDS COMMENTS - 4.1.2024,489,41,6,AfterSound Gaming,2510
28,gv2717PDFEQ,2024-04-07T13:00:06Z,Splinterlands: ALPHA & BETA GOLD FOIL CARDS MASSIVE PRICE DROP! MARKET #splinterlands #nftgame #nft,80,6,0,Single Player Gamer,1230
29,qxVJpu_VHfk,2024-04-10T13:30:06Z,Splinterlands: HOW TO BUY $SPS USING HIVE ENGINE | MASSIVE PRICE DECLINE IN 2024 SO I BOUGHT! #NFT,44,4,3,Single Player Gamer,1230
30,x086o8uygh0,2024-04-11T12:30:41Z,#96 An iProto Conversation | The People's Guild: A Splinterlands Podcast,219,16,10,The People's Guild,423
31,MCKJ51WvM3A,2024-03-26T22:52:06Z,Splinterlands Ranked Battle Overhaul Pt. 2 Juicy Details Released!,287,42,9,Bronzedrag0n Gaming,611
32,Sli5D0j2TQg,2024-03-27T07:00:21Z,How I am Climbing in Splinterlands Modern | Splinter Coach Data,333,22,3,Dwayne Cunningham,6400
33,QAj43zOb9XE,2024-03-24T07:00:16Z,The Path to PEG for DEC & Vouchers | Splinterlands,341,21,8,Dwayne Cunningham,6400
34,CvfmD3VofpY,2024-03-16T15:07:17Z,Splinterlands  My Great burning event! What's left? How much DEC did I earn?,356,25,9,Gathering The Magic,789
35,zihTVPn_nJo,2024-03-22T17:00:51Z,ANSWERING SPLINTERLANDS COMMENTS - 3.22.2024,465,53,7,AfterSound Gaming,2510
36,DpKPeYH3kEM,2024-03-20T00:37:55Z,Splinterlands Updates Live Today and Promo Event News,262,38,10,Bronzedrag0n Gaming,611
37,o4OJXjqrB30,2024-03-23T07:00:23Z,Debating Binance Listing with Gathering the Magic | Splinterlands,475,25,20,Dwayne Cunningham,6400
38,zbq7a3pYe3Q,2024-03-27T09:30:15Z,ANSWERING SPLINTERLANDS COMMENTS - 3.26.2024,421,44,10,AfterSound Gaming,2510
39,VvHgp3VIEnM,2024-04-02T18:57:11Z,Splinterlands End Of Season Rewards Opening! #1 on the Leaderboard Thanks to Mondroid!,63,6,2,clove71,2370
40,_YA8xVkF-SE,2024-04-09T07:00:14Z,Burning Soul Bound Cards for Glint | Splinterlands,496,32,18,Dwayne Cunningham,6400
41,1TZMXw8m5Bo,2024-04-04T08:30:00Z,ANSWERING SPLINTERLANDS COMMENTS - 4.3.2024,442,36,10,AfterSound Gaming,2510
42,JcYAmyHOHv4,2024-03-20T07:00:08Z,Patience & Bid Buys for the Win | Splinterlands,401,25,6,Dwayne Cunningham,6400
43,7lmufnY6t3w,2024-04-06T13:00:06Z,Splinterlands: 5 Reasons PeakMonsters is GREAT for NFTs! Why I love RENTING & MAKING MONEY for YEARS,17,4,0,Single Player Gamer,1230
44,6mnHdjusabU,2024-04-03T00:34:34Z,Surprising Last End of Season Splinterlands Chest Opening!,159,22,11,Bronzedrag0n Gaming,611
45,_ca_avUYwr0,2024-03-24T18:03:47Z,Splinterlands Market Watch #7 What deals are out there?,206,17,10,Gathering The Magic,789
46,V1LpLfYVCKA,2024-04-06T12:00:32Z,#95 The Web3 Dream | The People's Guild: A Splinterlands Podcast,116,14,3,The People's Guild,423
47,GXJ7JmN8ylk,2024-04-01T15:24:33Z,"Battle Mage Secrets Challenge,  FabFour ruleset from Splinterlands game",5,1,0,poplar2155,5
48,Di42CP0U1rc,2024-03-17T18:37:47Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-17-24 #splinterlands #nft #crypto",43,9,9,KGM JAM,614
49,lsp0QtGc2Oc,2024-04-01T13:00:06Z,Splinterlands: Rental Card System Update! How I make MONEY in the #CRYPTO BEAR MARKET #nft GOLD,57,8,4,Single Player Gamer,1230
50,lsp0QtGc2Oc,2024-04-01T13:00:06Z,Splinterlands: Rental Card System Update! How I make MONEY in the #CRYPTO BEAR MARKET #nft GOLD,57,8,4,Single Player Gamer,1230
51,PlGFXG1ukEE,2024-03-24T22:58:30Z,Splinterlands - Will this event pump vouchers?,244,22,5,Gathering The Magic,789
52,hWKj5kjJC-w,2024-03-20T16:42:52Z,Splinterlands  Daily Rewards 3/20 plus how are my accounts doing?,99,11,4,Gathering The Magic,789
53,jQxin6Cjh-c,2024-03-30T00:26:23Z,ANSWERING SPLINTERLANDS COMMENTS - 3.29.2024,399,35,3,AfterSound Gaming,2510
54,XariRiIul9o,2024-04-03T04:34:36Z,#94 The Sylar Hire | The People's Guild: A Splinterlands Podcast,242,24,13,The People's Guild,423
55,PIQxEQE2tcI,2024-04-08T13:52:31Z,KGM JAM Two Legendary cards in one pack! 04-08-24 #splinterlands #nft #crypto #dcrops #golemoverlord,35,9,5,KGM JAM,614
56,G-Zt97jhBF4,2024-03-17T07:00:06Z,MAJOR EXCHANGE LISTING | Splinterlands,709,41,30,Dwayne Cunningham,6400
57,GXJ7JmN8ylk,2024-04-01T15:24:33Z,"Battle Mage Secrets Challenge,  FabFour ruleset from Splinterlands game",5,1,0,poplar2155,5
58,iTpOXFc8-ng,2024-04-14T23:05:20Z,I QUIT INVESTING IN SPLINTERLANDS & WHY IM SELLING! NFT LAND GOLD LEGENDARY EPIC CARD #NFT #nftgame,0,0,0,Single Player Gamer,1230
59,Yy1zGhIdoYA,2024-03-23T12:00:35Z,#93 A People's Guild Roundtable | The People's Guild: A Splinterlands Podcast,340,36,24,The People's Guild,423
60,5qTfjYizH5o,2024-03-25T04:45:00Z,ANSWERING SPLINTERLANDS COMMENTS - 3.24.2024,374,33,10,AfterSound Gaming,2510
61,p8NOVEoPp3k,2024-04-12T13:30:06Z,Splinterlands GLINT REWARDS REACTION What is this NEW UPDATE! No More NFT Rewards! Feature CREEP,41,9,11,Single Player Gamer,1230
62,L-WUD7cCNt0,2024-03-26T01:07:00Z,Splinterlands Game News and a Surprise After I Burn Some Gold Foil Gladius Cards!,272,32,9,Bronzedrag0n Gaming,611
63,9hJ_H0tv0ts,2024-03-22T16:52:12Z,"Battle Mage Secrets Challenge,  Explosive Weaponry ruleset from Splinterlands game",3,0,0,poplar2155,5
64,gEgExkuUH5E,2024-03-31T12:00:35Z,Modern | Rank Battles W/Narrative | Splinterlands | 03-21-24,46,7,3,Boltz85,26
65,BZo4Ln1a6m4,2024-03-27T16:02:23Z,Splinterlands  Daily Rewards 3/27 - Diamonds are exactly what i needed!,102,13,7,Gathering The Magic,789
66,JzMRIssqWGA,2024-04-01T16:13:24Z,KGM JAM Splinterlands  Hive Engine morning claims 04-01-24 #splinterlands #nft #crypto #dcrops,45,8,4,KGM JAM,614
67,Osl_gQf4yBA,2024-03-30T15:36:39Z,"My Daily Routine - Splinterlands, Splinterforge and Golem Overlord",236,21,7,Gathering The Magic,789
68,dNV8tH0T3bY,2024-03-28T12:15:02Z,#94 A Mondroid Conversation | The People's Guild: A Splinterlands Podcast,377,30,35,The People's Guild,423
69,o29rysIOUmo,2024-04-02T08:10:53Z,SPLINTERLANDS : MY 61ST END SEASON REWARDS !!!,16,1,1,Yael Chan,1030
70,4cClHzjbngQ,2024-03-29T18:03:41Z,Splinterlands 101 - Ep 116: The End Of An Era,185,25,6,Bobaphet,170
71,bR94kmiOWvE,2024-03-28T16:19:06Z,Splinterlands  Daily Rewards 3/28 - Diamonds shine again!,76,8,2,Gathering The Magic,789
72,8Vnj1jGIcgg,2024-04-06T11:44:43Z,"Splinterlands 101 - Ep 117: Opening 350 Chaos Legion Packs, Splinterlands Chat, Life Stuff",77,12,7,Bobaphet,170
73,iQnkey7JYjo,2024-04-02T20:47:11Z,"GINLT GWEN’S , DRAW AND SHOP SPLINTERLANDS NUEVO SISTEMA DE RECOMPENSAS",18,2,1,Yonilkar,104
74,dxnUvT0qe1o,2024-04-12T18:05:49Z,Splinterlands 101 - Ep 118: Behind The Avatar @gamesontheblock,61,9,4,Bobaphet,170
75,FuLK_ST2pT0,2024-04-09T04:15:00Z,ANSWERING SPLINTERLANDS COMMENTS - 4.8.2024,409,41,16,AfterSound Gaming,2510
76,KJto0kafeJ8,2024-03-27T15:43:47Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-27-24 #splinterlands #nft #crypto",30,11,3,KGM JAM,614
77,UA2oXv-8GKk,2024-03-18T07:00:19Z,EoS Reward Chests with Twelve58 | Splinterlands,258,16,13,Dwayne Cunningham,6400
78,l348FxGn0sk,2024-04-14T14:55:44Z,GM JAM Hive .55 cent CL packs! 04-14-24 #splinterlands #nft #crypto #dcrops #golemoverlord,24,3,3,KGM JAM,614
79,9GovudzI0Xg,2024-03-20T11:15:01Z,"Daily Call 3/13/24 w/ Matthew Rosen: Co-Founder, Splinterlands",19,1,1,CryptoOracle Collective,168
80,2p4c7bOzfTE,2024-03-24T05:26:13Z,Splinterlands Battle WIN! 03 - NFT Trading Cards $HIVE Blockchain Gaming vs NEPHYTE_620447 #HIVE 4K,4,0,0,Splinterlands Wins NFT Web3 HIVE Blockchain Gaming,0
81,9CJ1ivq8-ko,2024-04-06T14:47:36Z,KGM JAM Hive Engine morning claims 04-06-24 #splinterlands #nft #crypto #dcrops #golemoverlord,32,7,4,KGM JAM,614
82,pmchAGTr6DM,2024-04-02T21:56:49Z,Splinterlands Community Creates a Meme Coin,90,17,3,Nick Plays Crypto,272
83,MCPUqoqd4-U,2024-03-28T09:45:00Z,ANSWERING SPLINTERLANDS COMMENTS - 3.27.2024,507,39,10,AfterSound Gaming,2510
84,ltI1aqEuiGA,2024-03-30T16:28:28Z,KGM JAM Splinterlands  Hive Engine game morning claims 03-30-24 #splinterlands #nft #crypto #dcrops,16,4,0,KGM JAM,614
85,c_XQ8nf3PnU,2024-04-07T15:09:10Z,KGM JAM Hive Engine morning claims 04-07-24 #splinterlands #nft #crypto #dcrops #golemoverlord,17,4,0,KGM JAM,614
86,yp7A6sHgvzE,2024-03-16T20:05:33Z,Splinterlands: Season 43 EOS Chest Opening (86 Gold Chests),40,8,3,Bobaphet,170
87,iL84lDbiyaM,2024-04-02T19:23:22Z,"Splinterlands für Anfänger: In welche Spiele INVESTIEREN, um GELD zu VERDIENEN in 2024?",11224,765,31,DeFiExpertise,71100
88,70Ui_9iTgFE,2024-03-27T12:16:53Z,08 Мир Феодалов Splinterlands,34,0,0,thallid Golos,153
89,Tym0Fe-aSIc,2024-03-24T05:06:53Z,Splinterlands Battle WIN! 01- NFT Trading Cards $HIVE Blockchain Gaming  _SLBB_FRIGHTENEDCORAL #HIVE,9,0,0,Splinterlands Wins NFT Web3 HIVE Blockchain Gaming,0
90,CCwNa-VLG0I,2024-03-31T14:37:43Z,KGM JAM Splinterlands  Hive Engine game morning claims 03-31-24 #splinterlands #nft #crypto #dcrops,30,7,2,KGM JAM,614
91,y_UTZqpZwSs,2024-03-28T06:00:28Z,Splinterlands Gameplay - Promoted to Bronze III,9,0,0,Information Gateway,1270
92,rMJABId9ioM,2024-03-24T05:22:14Z,Splinterlands Battle WIN! 02- NFT Trading Cards $HIVE Blockchain Gaming  _SLBB_FRIGHTENEDCORAL #HIVE,1,0,0,Splinterlands Wins NFT Web3 HIVE Blockchain Gaming,0
93,HMdSvtoOdTQ,2024-04-04T16:24:44Z,Black Market Vending Machine Location April 4 2024 | Borderlands 3 | (The Splinterlands),2027,156,37,Black Market Vending Machine Location - BL3,5630
94,fmAn7rhevT8,2024-03-16T12:00:40Z,#92 A Truls Conversation | The People's Guild: A Splinterlands Podcast,258,23,6,The People's Guild,423
95,9VHNOU0a7DQ,2024-03-29T15:39:14Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-29-24 #splinterlands #nft #crypto",15,4,0,KGM JAM,614
96,O4oHnzCS3cI,2024-03-24T05:57:49Z,Splinterlands Battle WIN! 04 - NFT Trading Cards $HIVE Blockchain Gaming vs  _SLBB_REARBLUE #HIVE 4K,7,0,0,Splinterlands Wins NFT Web3 HIVE Blockchain Gaming,0
97,-25tzKkImPM,2024-03-21T14:29:56Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-21-24 #splinterlands #nft #crypto",30,10,3,KGM JAM,614
98,R8SGWNCBSCM,2024-04-01T12:47:36Z,"Battle Mage Secrets Challenge,  FabFour ruleset from Splinterlands game",2,1,0,poplar2155,5
99,BjMuO0fXkRw,2024-03-28T04:14:57Z,Modern | Quick Rank Battles | Splinterlands | 03-27-24,29,9,2,Boltz85,26
100,dx3XknnMfrI,2024-03-22T16:24:10Z,The Art of War in Splinterlands & Thriving in the Explosive Weaponry Ruleset || Battle  Challenge,2,0,0,yousaf haroon khan,25
101,UGf_oflWs3U,2024-03-18T08:37:10Z,"Battle Mage Secrets Challenge,  Event Stevens ruleset from Splinterlands game",4,1,0,poplar2155,5
102,Cpk1wZpdwjU,2024-04-10T15:19:03Z,KGM JAM Yet Another legendary! 04-10-24 #splinterlands #nft #crypto #dcrops #golemoverlord,25,6,3,KGM JAM,614
103,CfqN6mMjgwE,2024-04-11T15:53:25Z,KGM JAM Hive Engine morning claims 04-11-24 #splinterlands #nft #crypto #dcrops #golemoverlord,30,5,4,KGM JAM,614
104,UA2oXv-8GKk,2024-03-18T07:00:19Z,EoS Reward Chests with Twelve58 | Splinterlands,258,16,13,Dwayne Cunningham,6400
105,ABCwC1TMeH8,2024-03-17T04:56:30Z,"Battle Mage Secrets Challenge,  Event Stevens ruleset from Splinterlands game",5,1,0,poplar2155,5
106,VrNF5HcBICc,2024-03-30T03:01:40Z,"SPECIAL OPPS GUILD Weekly Drawing Video for March 29th, 2024. SPLINTERLANDS.",6,0,0,App Bap,6
107,k1iAqOWF8q0,2024-04-10T03:35:35Z,KGM JAM Another legendary card in a pack! 04-09-24#splinterlands #nft #crypto #dcrops #golemoverlord,23,3,2,KGM JAM,614
108,un0WTq9KmJw,2024-03-18T16:05:50Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-18-24 #splinterlands #nft #crypto",46,9,1,KGM JAM,614
109,ixES5JmxBlI,2024-03-22T17:18:45Z,"Battle Mage Secrets Challenge,  Explosive Weaponry ruleset from Splinterlands game",4,0,0,poplar2155,5
110,YYQExYHTHw4,2024-04-01T18:53:43Z,battle mage secret splinterlands 2 APRIL 2024,1,0,0,AHMAD BADRUD DUJA,163
111,FcMj3h613MA,2024-04-08T13:19:18Z,"Battle Mage Secrets Challenge,  Fire & Regret ruleset from Splinterlands game",2,1,0,poplar2155,5
112,EIW0NWJJt1o,2024-04-08T14:42:34Z,"Battle Mage Secrets Challenge,  Fire & Regret ruleset from Splinterlands game",2,1,0,poplar2155,5
113,QRDFvqVVwHA,2024-04-01T13:07:00Z,splinter fit battles and motivational content training splinterlands how to win pack giveaway SPS,9,1,0,How to make a dollar ,3800
114,uLb_x8iHLw8,2024-03-18T08:20:09Z,BATTLE MAGE SECRET SPLINTERLANDS 3 bulan puasa,4,0,0,AHMAD BADRUD DUJA,163
115,pmchAGTr6DM,2024-04-02T21:56:49Z,Splinterlands Community Creates a Meme Coin,90,17,3,Nick Plays Crypto,272
116,Qa2cuLinCsQ,2024-03-24T15:30:29Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-24-24 #splinterlands #nft #crypto",35,8,1,KGM JAM,614
117,SADB4tZoP2Y,2024-04-02T13:00:06Z,Splinterlands Land 1.5: UPDATE to my LEGENDARY LAND! How to REMOVE CARDS in PRAETORIA #splinterlands,44,6,4,Single Player Gamer,1230
118,MCPUqoqd4-U,2024-03-28T09:45:00Z,ANSWERING SPLINTERLANDS COMMENTS - 3.27.2024,507,39,10,AfterSound Gaming,2510
119,dG1M8XQAXf8,2024-03-17T06:01:48Z,Splinterlands : Even Stevens,6,0,0,Crypto yzzy,53
120,rZVUv8BXVUo,2024-04-04T14:36:00Z,KGM JAM Hive Engine morning claims 04-04-24 #splinterlands #nft #crypto #dcrops #golemoverlord,36,6,3,KGM JAM,614
121,qSk_mu7ko3A,2024-03-18T17:01:54Z,battle mage splinterlands. game card yang menarik.,5,1,0,AHMAD BADRUD DUJA,163
122,mqV2AQ4i6F0,2024-04-15T07:07:39Z,21 Мир Феодалов Splinterlands,3,0,0,thallid Golos,153
123,zez_dXoi9mc,2024-03-31T19:12:17Z,Splinterlands - Gaming looking for Fab Four battles,9,0,0,Yonilkar,104
124,0TdvALGpXUw,2024-04-15T06:49:30Z,20-2 Мир Феодалов Splinterlands,4,0,0,thallid Golos,153
125,fmAn7rhevT8,2024-03-16T12:00:40Z,#92 A Truls Conversation | The People's Guild: A Splinterlands Podcast,258,23,6,The People's Guild,423
126,Cj_W0O1ax9s,2024-04-15T06:19:15Z,20-1 Мир Феодалов Splinterlands,5,0,0,thallid Golos,153
127,alQaT3el2Us,2024-03-21T14:01:19Z,Build wealth and have fun w/Splinterlands,93,3,0,The Official Koinos Blockchain Channel,1180
128,V9v0GC2tCoc,2024-04-07T04:56:35Z,SPS Detail Analysis | Pack Openings | Rank Battles | GLINT | Splinterlands | 04-06-2024,68,11,4,Boltz85,26
129,iL84lDbiyaM,2024-04-02T19:23:22Z,"Splinterlands für Anfänger: In welche Spiele INVESTIEREN, um GELD zu VERDIENEN in 2024?",11224,765,31,DeFiExpertise,71100
130,cvHfWuVWYPs,2024-04-05T14:42:23Z,KGM JAM Hive Engine morning claims 04-05-24 #splinterlands #nft #crypto #dcrops #golemoverlord,30,5,6,KGM JAM,614
131,diUXTQgBgXQ,2024-04-07T16:08:34Z,13 Мир Феодалов Splinterlands,36,3,2,thallid Golos,153
132,HMdSvtoOdTQ,2024-04-04T16:24:44Z,Black Market Vending Machine Location April 4 2024 | Borderlands 3 | (The Splinterlands),2027,156,37,Black Market Vending Machine Location - BL3,5630
133,mIzM7trZtBM,2024-03-20T16:17:45Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-20-24 #splinterlands #nft #crypto",33,11,3,KGM JAM,614
134,7uruBw3gV3I,2024-04-11T14:10:12Z,Protect Your Team But Let Your Opponent Suffer | Amazing Battle | Splinterlands,12,2,0,RTonline,360
135,a97AGu2k1pg,2024-04-03T17:02:45Z,KGM JAM Hive Engine morning claims 04-03-24 #splinterlands #nft #crypto #dcrops #golemoverlord,16,4,3,KGM JAM,614
136,kxFULgIhisk,2024-04-07T02:49:42Z,"Opening 10 master draw from splinterlands new reward shop, let's see what we'll get. 4.7",28,5,0,Prisslo's games,59
137,K7O9ylkDa9A,2024-03-23T15:24:44Z,"KGM JAM Splinterlands  Daily DCA, Land claims and pac openings 03-23-24 #splinterlands #nft #crypto",23,6,1,KGM JAM,614
138,uxggmfR1zG4,2024-04-07T15:38:04Z,12 Мир Феодалов Splinterlands,48,5,1,thallid Golos,153
139,TQaIO1glDlI,2024-04-07T16:30:11Z,14 Мир Феодалов Splinterlands,53,3,0,thallid Golos,153
140,vey2eRjxCq0,2024-03-16T13:03:00Z,crypto $81.82 fortnightly profit end of season rewards #splinterlands,44,3,0,How to make a dollar ,3800
141,4GGdDxJ4n0M,2024-03-29T10:28:17Z,10 Мир Феодалов Splinterlands,28,0,0,thallid Golos,153
142,oJVwPEMO4pA,2024-04-02T17:03:05Z,KGM JAM Splinterlands  Hive Engine morning claims 04-02-24 #splinterlands #nft #crypto #dcrops,46,10,5,KGM JAM,614
143,ukVQ3fY0ZF8,2024-04-14T14:07:00Z,splinter fit #splinterlands talk Weigh in 125kg #sps,9,0,0,How to make a dollar ,3800
144,LcMY9dpnvE0,2024-03-21T08:50:44Z,07-1 Мир Феодалов Splinterlands,32,2,0,thallid Golos,153
