,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,ovyv22GH7hg,2024-06-18T17:35:06Z,the machines arena,962,4,111,TOURO GAMER,309
1,dZwR5G5bbuM,2024-06-03T03:22:07Z,The Machines Arena - Risky plays (Ranked),4,1,0,Shhmoove,8
2,YKpNDa6CRUA,2024-05-31T23:32:51Z,The Machines Arena - Back to back dubs (Ranked),7,1,0,Shhmoove,8
3,YyTE-I9bxIg,2024-06-04T04:03:43Z,The Machines Arena - 3v4 Detonation W (Ranked),3,0,0,Shhmoove,8
4,RCOg931jxnQ,2024-06-01T22:29:41Z,The Machines Arena : Đi săn gà,4,1,0,Xu,4
5,Q9I3VkQDL6k,2024-06-06T14:31:10Z,The Machines Arena Trailer..Help me to reach First 50. #gamingshorts #gamingcommunity #gamersnearme,130,4,0,Gamers Near Me,23
6,VrBv9ZuVVmw,2024-06-09T14:00:32Z,TOP 5 PLAY TO EARN GAMES ON EPIC | The Machines Arena #shorts,125,1,0,PlayToEarn,16800
7,fanho4o7rxI,2024-06-06T14:27:12Z,The Machines Arena Free Game ... #trendingshorts #gamingshorts #gamingcommunity #gamersnearme #live,26,3,0,Gamers Near Me,23
8,uW3NKaL4LIE,2024-06-09T12:03:01Z,Crusher's Fiery Race in Volcanic Arena | Blaze and the Monster Machines,84,1,0,NAHA FUN,187
9,m6UEqx6Nr28,2024-06-09T12:10:47Z,Stripe's Garden Arena Showdown | Blaze and the Monster Machines,133,2,0,NAHA FUN,187
10,wSwQoHIEXB4,2024-06-10T12:14:54Z,Darington's Garden Arena Fire | Blaze and the Monster Machines,121,1,0,NAHA FUN,187
11,rJTzU3wgYn4,2024-06-18T05:39:16Z,Goblin Machine Mirror Broke Clash Royale...,96165,3683,446,Boss_CR,166000
12,u8yId8mrGJY,2024-06-09T12:07:55Z,Darington's Garden Arena Showdown | Blaze and the Monster Machines,56,2,0,NAHA FUN,187
13,VkyZXZYWXMk,2024-06-10T12:16:53Z,Stripe's Garden Arena Fly Monster | Blaze and the Monster Machines,143,1,0,NAHA FUN,187
14,jUZjk_J5NIs,2024-06-18T10:40:00Z,COMEBACK!! 27 Kills Natan The Real Monster Late Game!! - Build Top 1 Global Natan ~ MLBB,35787,1203,262,Gameplay Proplayer,1050000
15,h5NsvtRXej8,2024-06-18T01:00:30Z,26 Kills + 2x MANIAC!! Super Fast ATK Speed Moskov Almost SAVAGE! - Build Top 1 Global Moskov ~ MLBB,46709,1470,246,Gameplay Proplayer,1050000
16,156o6QBq3rk,2024-06-21T04:45:16Z,"🔥Global Next-Gen AI Engineer Career Roadmap | Salary, Scope, Jobs, Skills | Simplilearn",2944,90,1,Simplilearn,4180000
17,l3TuOeTL2EE,2024-06-18T03:54:43Z,Las Vegas Travel & Itinerary Planning Guide,10392,463,46,Yellow Productions,346000
18,PzPA4qoEx74,2024-06-22T10:19:19Z,"The Machines Arena - pěkná hra, slabší provedení (Recenze)",52,6,1,KryptoHerna,1300
19,J179vgswdxE,2024-06-17T21:07:04Z,AUSTRIA vs FRANCE EURO 2024 Watchalong Mark GOLDBRIDGE LIVE,203925,2758,132,That's Football,1180000
20,kuBsE_bRUzc,2024-06-23T13:00:41Z,Ep. 51 March of the Machines | Azorius Artifacts | MTG Arena Standard | Ladder Play,46,4,0,MoldyKumquat,133
