,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,Znj-oS38brs,2024-03-01T14:58:02Z,The Sandbox Cross-Platform + Cross-Chain Roadmap🔥CEO INTERVIEW,6586,436,42,Paul Barron Network,412000
1,yTePRgYpmB0,2024-02-29T21:30:08Z,The Sandbox Rights WILL X9000 AFTER DEAL WITH CHATGPT - SAND NETWORK PRICE PREDICTION 2024-2025,203,3,1,Mrkey Crypto,7970
2,iDc2Nbza7Aw,2024-03-01T21:02:07Z,Can DOGDAY & CATNAP survive a SHREDDER? (Garry's Mod Sandbox),208644,4131,132,SHOOTABIRDIE,3470000
3,8EYKg8wH-VM,2024-02-27T05:10:20Z,"Sandbox In Space,Sandbox Multiplayer Mods,Camera Man vs Toilet Head TPS,Shoot Monster FPS Survival",8075,34,4,XLH GAMER,9980
4,ea9YmXPAcA8,2024-02-27T22:58:27Z,the ladybug sandbox is here! 🐞,5204,69,1,jace and judy,1120
5,3Q1KVRaEO2g,2024-02-28T12:45:01Z,2v1 build 16K Albion online PVP.#albiononline #albionpvp #mmorpg #sandbox #gameplay #gaming,4910,188,10,DLopes94,254
6,zFp0An-pVYw,2024-02-27T08:00:27Z,Scary Nextbots Chasing me In Liminal Hotel p.11 Gmod,1943064,19042,9,Vox gmod,108000
7,m0uhkdevvDM,2024-02-27T15:57:54Z,Build or Bust? Don’t Miss This 7-Point The Sandbox Game Maker Review Before You Start #sandboxgames,52,1,0,Infinite Eclectic Insights ,13
8,oCLZrElLKBM,2024-02-29T12:29:10Z,The Sandbox : WARPSOUND SOCIAL HUB. All Quest! 4K !,39,3,0,GAMEtILLtheend,99
9,b3O-GkmYlyg,2024-03-04T14:00:32Z,"NEBEZPEČNÉ ZPŮSOBY, JAK ZNIČIT TITANIC! (Floating Sandbox)",6724,815,18,N3roGames,362000
10,Dk2Gixti60Q,2024-02-27T20:34:52Z,¡¡¿¿El Jefe Mas Facil De Terraria??!! 😱,36011,4129,46,XeonRade,42500
11,CXJrSgwRkcA,2024-02-28T11:00:15Z,Granny Nextbot On Road,203964,2155,4,Ozzy GmodTV,232000
12,1tP4WvVfpWY,2024-02-28T22:52:26Z,What just happened😳#gamersreact #minecraft #openworld #fypシ #gameplay#creative#creative #sandbox#fyp,1371,31,0,IPGamerSlo,2180
13,3W4iTWcZtv8,2024-02-27T22:39:19Z,Wapper Melon Sandbox Xd,8157,1424,7,Annya Barrios,1140
