,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,jJcUZvE0mgY,2024-02-27T20:33:33Z,"Gala Games , Revisiting And How You Can Play For Free , Earn Free Crypto",299,9,5,Learn How To Earn Online,10500
1,7HnUd2rGyMk,2024-02-27T05:42:40Z,Extra Cheese Lasagna Build Showcase (Common Ground World),2042,90,14,DubstepRod,3550
2,hfi1tyySlHg,2024-02-28T08:22:54Z,Common Ground World Lasagna Competition Stream Part 1,644,19,0,DubstepRod,3550
3,6tB4rnt4xD4,2024-02-27T00:01:28Z,"Playing Gala Games: CA, TWDE, EOE, Last Expedition, Legacy",72,10,1,Smilinmonster,7970
4,UO0Kt0Jyq58,2024-02-27T14:45:01Z,🚨 URGENT: ATTENTION FANS! LUTON TOWN STAR SIGNING FOR MAN UTD NOW! | MANCHESTER UNITED NEWS,94,4,1,OFFICIAL RED DEVILS,1120
5,VWwdAn2ycQA,2024-02-28T22:04:18Z,The History of Gala Games - The Year of 2019,291,28,22,Old Man Smithers,2120
6,Vg-YhlSXYeQ,2024-02-28T08:31:21Z,Pokémon Presents FEB 2024 Supercut React,19,0,0,SirJacobFlames,44
7,PGA01Ki4r68,2024-02-27T12:00:31Z,Super Mario 64 - Top O' the Town - 84 of 120,0,0,0,QuestKnight,2
8,cm5mfJWXNn8,2024-02-27T07:03:24Z,Gala Gazette #21,56,6,0,Forged In Crypto,115
9,EQgq8JlUho0,2024-03-02T02:01:35Z,NFT Jewelry Storage - Common Ground World #blockchaingames #Townstar #galagames #commongroundworld,55,6,0,PositivePlay,4
10,6qCDLu0aemk,2024-02-28T20:09:00Z,Bankrupt on Selling: How the Minor Leagues Were Lost | Part 3: The Lost World of Baseball,367,28,10,The Touchback,2940
11,lkLNLnehAUo,2024-02-27T02:18:24Z,Guns N Rollers vs. Heartless Heathers,265,1,0,Rose City Rollers,4430
12,rrY4jaRmTpg,2024-02-27T18:07:35Z,Assassins Creed 3 Part 6 STREAM!,18,3,0,Coby&Tanner,906
13,d4rtYNrUfKI,2024-03-01T13:35:12Z,Gala Games 2024 Common Ground Lasagna event,7,0,0,Cryptonesia,10
14,aj5NeHfgLmQ,2024-02-28T01:05:06Z,JOGOS COM POTENCIAL DE AIRDROP,20,7,0,Arbam,1670
15,HBYctuFR7vM,2024-03-01T15:55:16Z,Игра Common ground world от Gala Games / ПОЛУЧИЛ ТОКИНЫ GALA,103,13,2,Моис,1470
16,1mZGgxkRj8I,2024-03-01T17:31:12Z,Upgraded Lasagna Build Showcase (Common Ground World),314,14,3,DubstepRod,3550
17,WRxRTEiBx48,2024-03-03T02:08:39Z,Nuking Jump Town Star Citizen,19,2,0,The Citizen,1
18,HzWOzuU30Kc,2024-03-01T21:22:21Z,"14 ULTIMATES IN 3 CYCLES!? | BOULDER TOWN, STAR RAIL",66,1,2,Turtleinthehole,2770
19,KCgcfDcGZUM,2024-03-02T19:11:11Z,Common Ground World aka TownStar - Gold Ore Rush,27,1,0,SoulisYT,569
20,Wya22AHBWUs,2024-03-02T06:43:14Z,Common Ground World Lasagna Competition Stream Part 2,308,21,1,DubstepRod,3550
