,Video ID,Published Date,Title,View Count,Like Count,Comment Count,Channel Title,Subscriber Count
0,KgMS82q1jzA,2024-07-28T09:00:16Z,LIVE OPENING of PREMIUM BATTLE PASS and ESSENCE EXPLAINED in WILD FOREST,605,18,17,Aftermath TV,14000
1,JyaKIdoMhVM,2024-07-06T08:44:59Z,WILD FOREST BASIC GUIDE,3190,27,34,Dagdag Kita,51200
2,dpOXXh8-tsA,2024-07-28T11:00:07Z,"Build a Shelter Under a Rotten Tree - Building Skills, Wild Forest Beauty",11938,176,14,Wild Forest Beauty ,41600
3,Y9OSP7FvFPI,2024-07-10T11:00:07Z,"Pumaldo Ng ₱2,000 sa Wild Forest? (WALANG GINASTOS) | Wild Forest Update",1927,31,35,Coach Rev,30900
4,XyD_oE3hzRI,2024-07-29T09:46:00Z,WILD FOREST - SIGNAL FIRE IS HERE!,824,65,13,Insane on Crypto,16700
5,piV8SNTETOI,2024-07-14T01:20:06Z,Wild Forest Play-to-Airdrop,123,1,5,Khang Nguyễn,0
6,QZf9qthGBXU,2024-07-15T19:49:36Z,⚔️ ¡Domina Wild Forest! Equipo META Imparable y Estrategias para P2AS2,1135,124,8,JayBe Music,12600
7,tAFog7GZl1I,2024-07-29T13:00:07Z,PART 2 || EXPLORING INSIDE THE WILD FOREST AT GARDENS BY THE BAY SINGAPORE,72,42,34,LaBhelian 'D' Traveller&Mix Vlog,4850
8,ep0S1NKvKeI,2024-07-12T13:00:41Z,Building a Bushcraft Tree House | Building in the wild forest | Cozy TREE HOUSE | Part 2  #treehouse,469726,15560,18,EMRE OUTDOORS,22100
9,CEw88JeHj4Y,2024-07-11T14:28:38Z,How to win ARCADE MODE! WILD FOREST,484,3,4,Cường Sophie,27
10,5Xkh-UI1Lbk,2024-07-29T05:04:54Z,Wild Forest | P2A S2 / S1 / Day 28 - Season Finale!,20,1,0,Purzival Plays,16
11,iys_nnlhoRk,2024-07-14T13:18:23Z,What is Wild Forest? How to earn money from Wild Forest P2A,316,2,0,Clarissa Morgensen,2
12,b8DzM9hKUeU,2024-07-16T23:04:50Z,WILD FOREST :: AUMENTE SEUS PONTOS NO AIRDRROP + PERRKSS FAVORITOS,643,29,0,Fidelis,15300
13,bDTz_Wp2Ssc,2024-07-01T13:57:19Z,Wild Forest Aggressive Gameplay For Play to Airdrop Season 2,111,5,0,Hiyori,0
14,zcmlRu3grkM,2024-07-23T08:45:56Z,3 Years Alone in the Forest - Harvesting WILD FOREST FRUIT to sell,1873,1356,0,Lý Thị Na,2420
15,n62UYnCRNbs,2024-07-26T19:26:24Z,Новая функция Wild Forest - Signal Fire | Play-to-Airdrop 2 season,1248,115,20,Crypto Juli,94800
16,be7YF3ukoxY,2024-07-05T15:22:43Z,🔥 LOS MEJORES CONSEJOS para GANAR el PLAY TO AIRDROP | Wild Forest,2530,90,32,Sarraf,54700
17,oQ3dWxPoglE,2024-07-23T16:10:11Z,Built a Bushcraft Log Cabin in the wild forest from fallen trees - No power tools Part 2,27471,962,15,Asbjorn Olsen-Berg Bushcraft,734000
18,2rsCVc0C0vU,2024-07-27T20:00:33Z,como não jogar wild forest,9,0,0,Fabyo Hunter,9
19,mJKh_2Opa30,2024-07-04T03:10:07Z,Wild Forest P2A Season 2 Daily Grind,333,11,1,RR GaminG HuB,2450
20,6iPdq3-kHfQ,2024-07-04T15:37:46Z,Wild Forest P2A season 2: Top 10 leaderboard battles_Ep1,61,1,0,Lambrador,1
21,c6sHhpUBTcs,2024-07-02T14:27:09Z,Wild Forest P2A S2 short gameplay!,29,0,0,WILDFOREST P2A,0
22,jFiiYTkkT0o,2024-07-28T18:36:24Z,Wild Forest Lost strategy,39,2,0,Life Realization,13
23,A5x0Va5l65s,2024-07-01T13:08:17Z,Wild Forest | Chính thức Mainnet và P2A Season 2 Bắt Đầu. Anh Em Được Bao Nhiêu $WF ??,1621,20,36,zBlue,4130
24,lP5Kwl2IK4M,2024-07-28T14:15:23Z,wild forest P2A,5,1,0,clt,0
25,1OfqvC0E2ak,2024-07-21T13:57:33Z,WILD FOREST - Triple Air Build (Climb to League 3-4 Easy),116,2,1,Point618,1
26,nJ78AvsutIk,2024-07-17T03:07:04Z,Wild Forest | P2A S2 / S1 / Day 16 - The cheap pyromancer!,23,1,0,Purzival Plays,16
27,FZAgY9oiCtI,2024-07-27T11:15:04Z,Foolish Man's Wild Forest Meeting Leads to Naughty Love Affair,1177,0,0,Nhụt Single Mom ,9910
28,RR5UOmSoEmU,2024-07-18T15:26:00Z,Wild Forest | Розыгрыш NFT Пака | Прокачка Персонажей | Перки | Заработок на P2E Играх,983,69,89,Crypto Gamers,32000
29,1_kbGCX9SXk,2024-07-28T15:11:55Z,Wild Forest: How do I join Play-to-airdrop?🎮,16,2,0,GMod Skibidi,9890
30,uB4uhXjyzuI,2024-07-29T00:07:30Z,girl in the wild forest,435,9,0,Giang Thi Van,787
31,XCC-fUi8o0A,2024-07-03T12:09:21Z,Opening a Wild Forest premium pack and got a MYSTIC lord 🦁♥️,38,0,2,Nico5D,3
32,tEcaxSo7oI4,2024-07-20T01:17:10Z,Wild Forest | P2A S2 / S1 / Day 19 - The Shield Knight,26,2,1,Purzival Plays,16
33,KgkyVopEX0Q,2024-07-08T17:42:51Z,DICAS PRÁTICAS WILD FOREST MONTAGEM DE TIME,316,32,8,Seu Bubu NFT,2050
34,xEXUmdaHZ-0,2024-07-29T02:51:33Z,Tryhardeando el Top 50 del Leaderboard Día 20 Parte 3 | Wild Forest,180,24,0,Criptomamadas,3290
35,40NYL-XyUpc,2024-07-21T04:38:01Z,Normal day as league 5 Wild Forest,725,6,2,Đạt Võ,6
36,qNAv5eGYMq0,2024-07-06T21:15:16Z,COMO MONTAR UM TIME NO WILD FOREST,652,33,0,Fidelis,15300
37,aNeOyqVAgj4,2024-07-18T08:16:50Z,Overhauled Perk System for WILD FOREST ⚔️,1033,52,27,"The Crypto Asian - Gaming, NFT, Tokens",8030
38,_1EEnKTfjxA,2024-07-18T09:11:58Z,Obscure Mechanics in WILD FOREST ⚔️ for Advanced Players,1411,47,28,"The Crypto Asian - Gaming, NFT, Tokens",8030
39,ya2aCXVth4s,2024-07-27T15:38:49Z,Wild Forest | P2A S2 / S1 / Day 27 - Almost end season. Thoughts?,26,1,0,Purzival Plays,16
40,TIQq1qVgu-c,2024-07-28T17:45:49Z,wild forest p2a,0,2,0,kenedy luiz,1
41,soo5HX02Uq0,2024-07-03T06:23:06Z,Wild Forest Game Launch | P2A Season 2 Budget Team | Road to Top 100,174,6,0,ArZeus,14
42,IR9DhA20k_c,2024-07-26T16:55:17Z,Wild Forest Top 1 gamefi 2024,25,7,4,MinhQuan,13
43,Q56zANKDaRQ,2024-07-10T15:19:15Z,Wild Forest P2A Season 2 Gameplay (League 5),123,5,3,Steviemax,5
44,qRgME1mcA1g,2024-07-19T09:01:13Z,WILD FOREST | УСПЕЙ ЗАЛУТАТЬ AIRDROP | ЗАРАБАТЫВАЙ БЕЗ ВЛОЖЕНИЙ!,355,20,5,PanTbIkva,15400
45,DhNfEINIu4E,2024-07-04T01:29:14Z,Wild Forest : Gameplay Live | Play Game & Earn $WF crypto token Airdrop Now - Web3 game PTOE,12,0,0,Web3 Game Airdrop Play To Earn,56
46,mzjqcMhlyvQ,2024-07-29T05:45:29Z,Wild Forest P2A Season 2!,158,7,2,S Cari,2
47,TKuNmDAJlrA,2024-07-25T03:21:20Z,#solobushcraft #survival #solobushcaft #bigtree  Build a shelter in the wild forest,10338,164,0,trieuvannhay,107
48,7F1yfKym2Io,2024-07-10T21:51:22Z,Asi GANARAS Criptomonedas Con Wild Forest🤑,1224,24,31,Brizzio,6740
49,3rtjm3ppwD4,2024-07-26T11:06:14Z,Mi proyecto de vida la Reserva Wild Forest | Dulcinea,2090,231,15,Dulcinea. Una vida en el bosque,704000
50,zPnABHdTvm0,2024-07-20T06:05:40Z,Wild Forest Play To Airdrop Season 2 | Easiest Way Win Matches,71,13,3,I-Brand,74
51,ywDK28yxacA,2024-07-16T20:00:19Z,REVISAMOS PERKS EN WILD FOREST,653,107,3,Androxmx,37700
