Date,Retweet Count,Likes Count,Tweet,SoV_Tweet,SoV_Likes,SoV_RTs
01/08/2024,5751,24043,4972,5658,,
1/15/2024,7372,25558,4352,7372,,
1/22/2024,4307,16692,2976,3802,,
1/29/2024,3257,14678,4290,3294,,
02/05/2024,5297,21524,4627,4221,,
02/12/2024,4379,15264,3253,4443,,
2/19/2024,2562,11811,3507,2536,,
2/27/2024,11758,52471,4853,10982,,
03/05/2024,1709,7238,2328,1810,,
03/12/2024,4403,16711,3107,2453,,
3/18/2024,25175,103470,4278,15624,,
3/26/2024,4100,11214,2857,1887,,
3/31/2024,2696,9773,3032,2115,,
04/01/2024,3517,12225,3847,2732,,
04/09/2024,1815,7235,2405,1734,,
4/15/2024,2741,9519,1901,2099,,
4/22/2024,9960,30714,5436,4913,,
4/30/2024,5496,15831,2772,2868,,
05/07/2024,8732,27096,3320,6788,,
5/13/2024,12508,20282,3424,3944,,
5/20/2024,10048,19323,2413,2556,,
5/27/2024,4428,13851,3127,2674,,
