Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
Illuvium,19960560,530400,11148,63,664,154,4,37.63
Big Time,16770660,978240,2727,49,873,129,7,17.14
Axie Infinity,7850220,356400,750,14,389,60,2,22.03
Pixels,6078360,256500,3664,23,256,46,1,23.7
Parallel,4901520,164220,6449,13,126,37,1,29.85
Gods Unchained,3832440,220560,170,8,163,29,1,17.38
Apeiron,1952040,58140,392,5,79,15,0,33.57
The Sandbox,772380,49860,88,3,30,5,0,15.49
Splinterlands,366720,46140,64,4,26,2,0,7.95
The Machines Arena,251820,22200,276,8,59,1,0,11.34
Decentraland,78540,66120,27,3,20,0,0,1.19
DEADROP,46680,10800,29,5,20,0,0,4.32
Thetan Arena,28020,14580,96,2,41,0,0,1.92
Skyweaver,27240,9660,47,2,25,0,0,2.82
Ev.io,8820,3480,41,1,29,0,0,2.53
Town Star,6060,5520,5,3,6,0,0,1.1
Undead Blocks,3480,1620,15,4,9,0,0,2.15
Blankos Block Party,1500,300,10,1,2,0,0,5
