Date,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
1/2/2024,755640,35700,401,14,130,74,3,21.17
1/8/2024,1153260,46080,533,36,152,114,4,25.03
1/15/2024,1021620,46200,444,15,160,101,4,22.11
1/22/2024,1703340,58620,472,14,173,168,5,29.06
1/29/2024,1408740,63180,412,15,167,139,6,22.3
2/5/2024,1472340,64680,355,17,158,146,6,22.76
2/12/2024,1372080,55200,372,13,145,136,5,24.86
2/19/2024,1242600,40980,457,15,137,123,4,30.32
2/27/2024,1115460,37980,511,11,136,110,3,29.37
3/5/2024,904560,34440,534,12,105,89,3,26.26
3/11/2024,545160,36000,390,16,154,54,3,15.14
3/18/2024,483000,28740,932,17,179,47,2,16.81
3/26/2024,458460,26220,308,10,98,45,2,17.49
4/1/2024,503820,22140,436,9,102,49,2,22.76
4/9/2024,705300,29040,449,10,108,69,2,24.29
4/13/2024,616800,30120,299,10,110,61,2,20.48
4/15/2024,553620,28620,303,10,110,54,2,19.34
4/22/2024,726480,32880,301,12,111,72,3,22.09
4/29/2024,532020,25680,421,9,91,52,2,20.72
5/7/2024,538020,22500,250,8,85,53,2,23.91
5/13/2024,502260,20940,298,9,85,49,2,23.99
5/20/2024,934020,24120,750,10,94,92,2,38.72
5/27/2024,594960,22260,735,9,98,59,2,26.73
6/3/2024,428220,22260,274,9,82,42,2,19.24
6/10/2024,619800,25200,327,14,95,61,2,24.6
6/18/2024,741120,31560,597,12,115,73,3,23.48
6/24/2024,590340,24840,316,9,100,58,2,23.77
7/1/2024,684240,31140,322,10,97,67,3,21.97
7/7/2024,484260,27780,216,12,94,48,2,17.43
7/14/2024,694740,30600,301,12,86,68,3,22.7
7/22/2024,541920,29580,184,11,93,53,2,18.32
7/29/2024,635400,31680,247,10,102,63,3,20.06
8/5/2024,556620,31200,275,10,87,55,3,17.84
8/12/2024,472560,29460,243,10,101,46,2,16.04
8/19/2024,328080,21780,169,8,92,32,2,15.06
8/26/2024,331920,21540,276,10,84,32,2,15.41
9/2/2024,620700,29100,305,11,114,61,2,21.33
9/9/2024,765780,33420,359,12,110,75,3,22.91
9/17/2024,765240,33720,276,10,104,75,3,22.69
9/24/2024,747480,32220,563,11,103,74,3,23.2
9/30/2024,715680,37140,231,12,103,71,3,19.27
10/7/2024,719400,29460,338,10,86,71,2,24.42
10/14/2024,580680,27600,231,10,85,57,2,21.04
10/21/2024,601860,21540,364,8,85,59,2,27.94
10/29/2024,473940,24060,219,10,78,47,2,19.7
11/4/2024,486360,26460,342,11,86,48,2,18.38
11/11/2024,544680,27780,357,9,80,54,2,19.61
11/20/2024,329340,18540,416,8,76,32,1,17.76
11/25/2024,523260,27960,310,12,78,51,2,18.71
12/2/2024,426360,21720,205,8,79,42,2,19.63
12/9/2024,547620,24120,278,8,76,54,2,22.7
12/16/2024,601140,23100,252,9,78,59,2,26.02
12/22/2024,583860,24000,252,11,80,57,2,24.33
12/29/2024,504660,18180,223,7,63,50,1,27.76
1/6/2025,596520,20700,252,8,67,59,2,28.82
1/12/2025,581160,23460,253,10,78,57,2,24.77
1/20/2025,430380,20100,334,8,63,42,1,21.41
1/28/2025,409560,20580,172,9,66,40,2,19.9
2/2/2025,364860,15900,179,7,53,36,1,22.95
2/10/2025,376320,16560,279,6,62,37,1,22.72
2/17/2025,417960,14700,234,6,54,41,1,28.43
