Game,Watch time (mins),Stream time (mins),Peak viewers,Peak channels,Streamers,Average viewers,Average channels,Average viewer ratio
Off The Grid,11075040,496020,15290,138,3112,1098,49,22.33
Axie Infinity,329340,18540,416,8,76,32,1,17.76
Parallel,262020,10860,1273,8,33,25,1,24.13
My Pet Hooligan,100800,1560,480,2,13,10,0,64.62
Pixels,41040,5340,76,4,21,4,0,7.69
Illuvium,36120,5760,36,4,21,3,0,6.27
RavenQuest,30720,300,237,1,1,3,0,102.4
The Machines Arena,22500,10140,25,4,19,2,1,2.22
Sparkball,11280,1260,38,3,10,1,0,8.95
Apeiron,1740,540,15,1,1,0,0,3.22
Riftstorm,240,120,3,1,1,0,0,2
Kaidro: Clan Battles,0,60,0,1,1,0,0,0
