Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber,,,,,,Ronin Games,183389,8475,2523,3931784,3.056119312,3.375029502,18.98846495,0.70168798
Off The Grid,150327,7028,637,9302142,78.05991307,75.37537538,49.26527456,91.18986249,,,,,,,,,,,,,,
Ronin Games,183389,8475,2523,3931784,3.056119312,3.375029502,18.98846495,0.70168798,,,,,,,,,,,,,,
Matr1x Fire,7147,162,39,124925,3.711204233,1.737451737,3.016241299,1.224652728,,,,,,,,,,,,,,
Illuvium,5931,366,97,100443,3.079775053,3.925353925,7.501933488,0.984653143,,,,,,,,,,,,,,
Star Atlas,1514,203,68,43147,0.78617087,2.177177177,5.259087394,0.422974515,,,,,,,,,,,,,,
Sparkball,957,101,2,157024,0.496938919,1.083226083,0.154679041,1.539322553,,,,,,,,,,,,,,
Parallel TCG,593,116,31,23587,0.307925579,1.244101244,2.397525135,0.231225807,,,,,,,,,,,,,,
Decentraland,384,33,35,7142,0.199398688,0.353925354,2.706883217,0.070013766,,,,,,,,,,,,,,
My Pet Hooligan,254,32,10,29362,0.131893924,0.343200343,0.773395205,0.28783873,,,,,,,,,,,,,,
Other,0.169281178,0.169281178,0.169281178,0.169281178,0.169281178,0.169281178,0.169281178,0.169281178,,,,,,,,,,,,,,
