Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Off The Grid,228709,2635,333,0,45.07229611,17.03076525,11.10370123,0
Shatterline,131406,5383,233,0,25.8965329,34.79188211,7.769256419,0
Pixels,39893,1884,537,0,7.861820518,12.17683557,17.90596866,0
Axie Infinity,29918,1383,449,0,5.896020511,8.938728025,14.97165722,0
Illuvium,14566,709,562,0,2.870560691,4.582471562,18.73957986,0
Runiverse,12682,546,64,0,2.499275758,3.528955533,2.134044682,0
Wild Forest,11579,752,321,0,2.281904589,4.860392968,10.70356786,0
Rift Storm,6925,284,65,0,1.364728325,1.83557394,2.16738913,0
Apeiron,6015,357,60,0,1.185392184,2.307394002,2.000666889,0
Other,5.071468408,5.071468408,5.071468408,5.071468408,5.071468408,5.071468408,5.071468408,5.071468408
