Game,View Count,Like Count,Comment Count,Subscriber Count,SoV_Views,SoV_Likes,SoV_Comments,SoV_Subscriber
Kaidro,284106,67,138,0,75.7030563,1.92087156,10.35258815,
Pixels,59574,1906,634,0,15.87412401,54.64449541,47.56189047,
Axie Infinity,14401,870,319,0,3.837299155,24.94266055,23.93098275,
Pixel Heroes,6420,234,90,0,1.710677076,6.708715596,6.751687922,
Runiverse,3955,212,67,0,1.053851688,6.077981651,5.026256564,
Apeiron,3244,40,21,0,0.864398199,1.146788991,1.575393848,
Wild Forest,1145,27,42,0,0.305097391,0.774082569,3.150787697,
Lumiterra,1136,47,8,0,0.302699246,1.347477064,0.600150038,
Fableborne,823,73,13,0,0.219297077,2.092889908,0.975243811,
Other,0.129499853,0.129499853,0.129499853,0.129499853,0.129499853,0.129499853,0.129499853,0.129499853
